Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'ben_giles.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\mona_lisa.jpeg', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\ben_giles.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\mona_lisa styled as ben_giles\\100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=456633450496.0000, content_loss=      0.0000, style loss=456627960000.0000, tv loss=5505467.0000
LBFGS | iteration: 002, total loss=456632860672.0000, content_loss=      0.0024, style loss=456627360000.0000, tv loss=5505467.0000
LBFGS | iteration: 003, total loss=456632500224.0000, content_loss=      0.0068, style loss=456627000000.0000, tv loss=5505467.0000
LBFGS | iteration: 004, total loss=456628174848.0000, content_loss=      0.1873, style loss=456622680000.0000, tv loss=5505469.0000
LBFGS | iteration: 005, total loss=456606580736.0000, content_loss=      4.8967, style loss=456601080000.0000, tv loss=5505478.0000
LBFGS | iteration: 006, total loss=456485306368.0000, content_loss=    148.2373, style loss=456479800000.0000, tv loss=5505527.0000
LBFGS | iteration: 007, total loss=455166787584.0000, content_loss=  14666.6676, style loss=455161280000.0000, tv loss=5506067.0000
LBFGS | iteration: 008, total loss=443281702912.0000, content_loss=1343236.8279, style loss=443274840000.0000, tv loss=5511469.0000
LBFGS | iteration: 009, total loss=384225214464.0000, content_loss=58540832.5195, style loss=384161040000.0000, tv loss=5599345.0000
LBFGS | iteration: 010, total loss=331886297088.0000, content_loss=208241406.2500, style loss=331672260000.0000, tv loss=5803251.0000
LBFGS | iteration: 011, total loss=269057114112.0000, content_loss=547736230.4688, style loss=268503020000.0000, tv loss=6352286.0000
