Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'mosaic.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/mona_lisa.jpeg', 'style_img_path': 'data/style_images/mosaic.jpg', 'dump_path': 'data/output_images/mona_lisa styled as mosaic/100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=2164815298560.0000, content_loss=      0.0000, style loss=2164809760000.0000, tv loss=5505467.0000
LBFGS | iteration: 002, total loss=2164814643200.0000, content_loss=      0.0032, style loss=2164809120000.0000, tv loss=5505467.0000
LBFGS | iteration: 003, total loss=2164811366400.0000, content_loss=      0.0987, style loss=2164805920000.0000, tv loss=5505470.5000
LBFGS | iteration: 004, total loss=2164808876032.0000, content_loss=      0.3314, style loss=2164803360000.0000, tv loss=5505474.0000
LBFGS | iteration: 005, total loss=2164777811968.0000, content_loss=     10.0435, style loss=2164772320000.0000, tv loss=5505504.0000
LBFGS | iteration: 006, total loss=2164696547328.0000, content_loss=    101.7847, style loss=2164691040000.0000, tv loss=5505585.5000
LBFGS | iteration: 007, total loss=2164161773568.0000, content_loss=   3072.2402, style loss=2164156320000.0000, tv loss=5506119.5000
LBFGS | iteration: 008, total loss=2158339031040.0000, content_loss= 299679.4701, style loss=2158333280000.0000, tv loss=5511993.5000
LBFGS | iteration: 009, total loss=2105812844544.0000, content_loss=23094799.8047, style loss=2105784160000.0000, tv loss=5572385.5000
LBFGS | iteration: 010, total loss=1849905119232.0000, content_loss=406619824.2188, style loss=1849491840000.0000, tv loss=6628336.5000
LBFGS | iteration: 011, total loss=1531514322944.0000, content_loss=1150356250.0000, style loss=1530355360000.0000, tv loss=8534868.0000
LBFGS | iteration: 012, total loss=1236329562112.0000, content_loss=2805495507.8125, style loss=1233511600000.0000, tv loss=12417066.0000
LBFGS | iteration: 013, total loss=983596531712.0000, content_loss=3647883203.1250, style loss=979935120000.0000, tv loss=13570395.0000
