Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'picasso_weeping_woman.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'random', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\mona_lisa.jpeg', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\picasso_weeping_woman.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\mona_lisa styled as picasso_weeping_woman\\100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=2343936458752.0000, content_loss=4137481640.6250, style loss=2339716352000.0000, tv loss=82690544.0000
LBFGS | iteration: 002, total loss=2343935672320.0000, content_loss=4137481250.0000, style loss=2339715584000.0000, tv loss=82690544.0000
LBFGS | iteration: 003, total loss=2343930167296.0000, content_loss=4137478906.2500, style loss=2339710208000.0000, tv loss=82690544.0000
LBFGS | iteration: 004, total loss=2343920992256.0000, content_loss=4137475000.0000, style loss=2339700992000.0000, tv loss=82690536.0000
LBFGS | iteration: 005, total loss=2343873806336.0000, content_loss=4137454296.8750, style loss=2339653888000.0000, tv loss=82690512.0000
LBFGS | iteration: 006, total loss=2343628177408.0000, content_loss=4137347656.2500, style loss=2339408128000.0000, tv loss=82690368.0000
LBFGS | iteration: 007, total loss=2342235668480.0000, content_loss=4136742968.7500, style loss=2338016512000.0000, tv loss=82689576.0000
LBFGS | iteration: 008, total loss=2326990684160.0000, content_loss=4130112500.0000, style loss=2322778112000.0000, tv loss=82680808.0000
LBFGS | iteration: 009, total loss=2180512874496.0000, content_loss=4064942578.1250, style loss=2176365312000.0000, tv loss=82593592.0000
LBFGS | iteration: 010, total loss=1591260086272.0000, content_loss=3774733984.3750, style loss=1587403136000.0000, tv loss=82168320.0000
LBFGS | iteration: 011, total loss=618926047232.0000, content_loss=3086643359.3750, style loss=615758784000.0000, tv loss=80687696.0000
LBFGS | iteration: 012, total loss=325738168320.0000, content_loss=2759500585.9375, style loss=322899168000.0000, tv loss=79506888.0000
LBFGS | iteration: 013, total loss=166449643520.0000, content_loss=2495772656.2500, style loss=163875856000.0000, tv loss=78012736.0000
LBFGS | iteration: 014, total loss=87917199360.0000, content_loss=2269717187.5000, style loss=85571144000.0000, tv loss=76342784.0000
LBFGS | iteration: 015, total loss=51491131392.0000, content_loss=2114402539.0625, style loss=49302076000.0000, tv loss=74650256.0000
LBFGS | iteration: 016, total loss=34793713664.0000, content_loss=2022459960.9375, style loss=32698226000.0000, tv loss=73026184.0000
LBFGS | iteration: 017, total loss=26482223104.0000, content_loss=2015850585.9375, style loss=24394854000.0000, tv loss=71517312.0000
LBFGS | iteration: 018, total loss=20704942080.0000, content_loss=2150852734.3750, style loss=18484098000.0000, tv loss=69992712.0000
LBFGS | iteration: 019, total loss=17350168576.0000, content_loss=2417014257.8125, style loss=14864473000.0000, tv loss=68680744.0000
LBFGS | iteration: 020, total loss=15121656832.0000, content_loss=2317299414.0625, style loss=12736336000.0000, tv loss=68021640.0000
LBFGS | iteration: 021, total loss=13676500992.0000, content_loss=2402924414.0625, style loss=11205873000.0000, tv loss=67703544.0000
LBFGS | iteration: 022, total loss=12400049152.0000, content_loss=2378342578.1250, style loss=9954343000.0000, tv loss=67363392.0000
