Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'picasso_weeping_woman.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/mona_lisa.jpeg', 'style_img_path': 'data/style_images/picasso_weeping_woman.jpg', 'dump_path': 'data/output_images/mona_lisa styled as picasso_weeping_woman/100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=168306425856.0000, content_loss=      0.0000, style loss=168300920000.0000, tv loss=5505467.0000
LBFGS | iteration: 002, total loss=168306098176.0000, content_loss=      0.0024, style loss=168300600000.0000, tv loss=5505467.0000
LBFGS | iteration: 003, total loss=168305229824.0000, content_loss=      0.0322, style loss=168299720000.0000, tv loss=5505468.0000
LBFGS | iteration: 004, total loss=168302886912.0000, content_loss=      0.2932, style loss=168297380000.0000, tv loss=5505469.0000
LBFGS | iteration: 005, total loss=168286928896.0000, content_loss=      8.8981, style loss=168281420000.0000, tv loss=5505479.0000
LBFGS | iteration: 006, total loss=168112078848.0000, content_loss=    886.6847, style loss=168106580000.0000, tv loss=5505585.0000
LBFGS | iteration: 007, total loss=166410141696.0000, content_loss=  86685.9317, style loss=166404550000.0000, tv loss=5506642.0000
LBFGS | iteration: 008, total loss=159000330240.0000, content_loss=2335862.1597, style loss=158992490000.0000, tv loss=5511938.0000
LBFGS | iteration: 009, total loss=130867052544.0000, content_loss=59510925.2930, style loss=130801950000.0000, tv loss=5583868.0000
LBFGS | iteration: 010, total loss=110714929152.0000, content_loss=165221374.5117, style loss=110543970000.0000, tv loss=5732502.0000
LBFGS | iteration: 011, total loss=91103354880.0000, content_loss=349876489.2578, style loss=90747410000.0000, tv loss=6058009.0000
LBFGS | iteration: 012, total loss=74377494528.0000, content_loss=580542138.6719, style loss=73790465000.0000, tv loss=6491802.5000
LBFGS | iteration: 013, total loss=62553874432.0000, content_loss=772895898.4375, style loss=61774065000.0000, tv loss=6915392.0000
LBFGS | iteration: 014, total loss=52286308352.0000, content_loss=925189453.1250, style loss=51353850000.0000, tv loss=7269943.0000
LBFGS | iteration: 015, total loss=42031423488.0000, content_loss=1027304589.8438, style loss=40996527500.0000, tv loss=7590175.5000
LBFGS | iteration: 016, total loss=33016174592.0000, content_loss=1127699609.3750, style loss=31880660000.0000, tv loss=7812252.0000
LBFGS | iteration: 017, total loss=25982679040.0000, content_loss=1161947753.9062, style loss=24812785000.0000, tv loss=7945230.5000
LBFGS | iteration: 018, total loss=20947023872.0000, content_loss=1267822753.9062, style loss=19671138750.0000, tv loss=8062057.0000
LBFGS | iteration: 019, total loss=18129664000.0000, content_loss=1199479492.1875, style loss=16922093750.0000, tv loss=8092091.0000
LBFGS | iteration: 020, total loss=15817669632.0000, content_loss=1336260351.5625, style loss=14473213750.0000, tv loss=8195255.0000
LBFGS | iteration: 021, total loss=14727545856.0000, content_loss=1327666601.5625, style loss=13391833750.0000, tv loss=8045812.0000
LBFGS | iteration: 022, total loss=13481276416.0000, content_loss=1351831933.5938, style loss=12121258750.0000, tv loss=8185717.0000
LBFGS | iteration: 023, total loss=12384735232.0000, content_loss=1391716406.2500, style loss=10984712500.0000, tv loss=8306684.0000
LBFGS | iteration: 024, total loss=11280915456.0000, content_loss=1379711035.1562, style loss=9892840000.0000, tv loss=8363591.0000
LBFGS | iteration: 025, total loss=10467789824.0000, content_loss=1434995898.4375, style loss=9024420000.0000, tv loss=8374335.5000
LBFGS | iteration: 026, total loss=9908112384.0000, content_loss=1402042089.8438, style loss=8497678125.0000, tv loss=8391918.0000
LBFGS | iteration: 027, total loss=9285306368.0000, content_loss=1402344042.9688, style loss=7874548125.0000, tv loss=8414503.0000
LBFGS | iteration: 028, total loss=8724498432.0000, content_loss=1419803808.5938, style loss=7296218125.0000, tv loss=8477051.0000
LBFGS | iteration: 029, total loss=8250976256.0000, content_loss=1423427539.0625, style loss=6819059375.0000, tv loss=8489635.0000
LBFGS | iteration: 030, total loss=7974116864.0000, content_loss=1430037792.9688, style loss=6535585000.0000, tv loss=8494562.0000
LBFGS | iteration: 031, total loss=7678312960.0000, content_loss=1430934277.3438, style loss=6238810625.0000, tv loss=8568161.0000
