Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'vg_starry_night.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/mona_lisa.jpeg', 'style_img_path': 'data/style_images/vg_starry_night.jpg', 'dump_path': 'data/output_images/mona_lisa styled as vg_starry_night/100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=2829620609024.0000, content_loss=      0.0000, style loss=2829615040000.0000, tv loss=5505467.0000
LBFGS | iteration: 002, total loss=2829619298304.0000, content_loss=      0.0012, style loss=2829613760000.0000, tv loss=5505467.5000
LBFGS | iteration: 003, total loss=2829619036160.0000, content_loss=      0.0028, style loss=2829613440000.0000, tv loss=5505468.0000
LBFGS | iteration: 004, total loss=2829611696128.0000, content_loss=      0.0822, style loss=2829606080000.0000, tv loss=5505477.0000
LBFGS | iteration: 005, total loss=2829570539520.0000, content_loss=      2.4856, style loss=2829565120000.0000, tv loss=5505523.0000
LBFGS | iteration: 006, total loss=2829432389632.0000, content_loss=     35.5314, style loss=2829426880000.0000, tv loss=5505680.5000
LBFGS | iteration: 007, total loss=2828585140224.0000, content_loss=   1072.6833, style loss=2828579520000.0000, tv loss=5506640.0000
LBFGS | iteration: 008, total loss=2823924219904.0000, content_loss=  31955.4180, style loss=2823918720000.0000, tv loss=5511925.5000
LBFGS | iteration: 009, total loss=2773948563456.0000, content_loss=2616909.4086, style loss=2773940480000.0000, tv loss=5570122.0000
LBFGS | iteration: 010, total loss=2532232134656.0000, content_loss=50965173.3398, style loss=2532175200000.0000, tv loss=5997282.0000
LBFGS | iteration: 011, total loss=1848907661312.0000, content_loss=358948266.6016, style loss=1848539680000.0000, tv loss=8898112.0000
LBFGS | iteration: 012, total loss=1194391764992.0000, content_loss=807556835.9375, style loss=1193571120000.0000, tv loss=13085051.0000
LBFGS | iteration: 013, total loss=885090222080.0000, content_loss=1720193164.0625, style loss=883352080000.0000, tv loss=17948868.0000
LBFGS | iteration: 014, total loss=586553098240.0000, content_loss=1721389257.8125, style loss=584812680000.0000, tv loss=19066908.0000
LBFGS | iteration: 015, total loss=481575337984.0000, content_loss=1806452929.6875, style loss=479748760000.0000, tv loss=20108912.0000
LBFGS | iteration: 016, total loss=344516886528.0000, content_loss=2186987500.0000, style loss=342307200000.0000, tv loss=22674990.0000
LBFGS | iteration: 017, total loss=237171376128.0000, content_loss=2149054882.8125, style loss=234998960000.0000, tv loss=23370618.0000
LBFGS | iteration: 018, total loss=222795120640.0000, content_loss=2529374804.6875, style loss=220240340000.0000, tv loss=25396946.0000
LBFGS | iteration: 019, total loss=199340294144.0000, content_loss=2365352734.3750, style loss=196950420000.0000, tv loss=24517964.0000
LBFGS | iteration: 020, total loss=171765694464.0000, content_loss=2359606835.9375, style loss=169381620000.0000, tv loss=24460072.0000
