Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'wave_crop.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/mona_lisa.jpeg', 'style_img_path': 'data/style_images/wave_crop.jpg', 'dump_path': 'data/output_images/mona_lisa styled as wave_crop/100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=378983383040.0000, content_loss=      0.0000, style loss=378977880000.0000, tv loss=5505467.0000
LBFGS | iteration: 002, total loss=378982891520.0000, content_loss=      0.0021, style loss=378977400000.0000, tv loss=5505467.0000
LBFGS | iteration: 003, total loss=378982596608.0000, content_loss=      0.0065, style loss=378977080000.0000, tv loss=5505467.0000
LBFGS | iteration: 004, total loss=378979057664.0000, content_loss=      0.1957, style loss=378973560000.0000, tv loss=5505470.0000
LBFGS | iteration: 005, total loss=378963263488.0000, content_loss=      4.2967, style loss=378957760000.0000, tv loss=5505483.0000
LBFGS | iteration: 006, total loss=378872889344.0000, content_loss=    130.0518, style loss=378867400000.0000, tv loss=5505557.0000
LBFGS | iteration: 007, total loss=378378354688.0000, content_loss=   3914.8197, style loss=378372840000.0000, tv loss=5505963.0000
LBFGS | iteration: 008, total loss=375738171392.0000, content_loss= 116066.6823, style loss=375732520000.0000, tv loss=5508197.0000
LBFGS | iteration: 009, total loss=363357437952.0000, content_loss=3089199.0662, style loss=363348840000.0000, tv loss=5520527.5000
LBFGS | iteration: 010, total loss=319796445184.0000, content_loss=64760809.3262, style loss=319726060000.0000, tv loss=5641609.0000
LBFGS | iteration: 011, total loss=282335739904.0000, content_loss=196072424.3164, style loss=282133760000.0000, tv loss=5907763.5000
LBFGS | iteration: 012, total loss=243959447552.0000, content_loss=412121337.8906, style loss=243540880000.0000, tv loss=6432257.0000
LBFGS | iteration: 013, total loss=205402750976.0000, content_loss=710440429.6875, style loss=204684960000.0000, tv loss=7344895.0000
LBFGS | iteration: 014, total loss=173157744640.0000, content_loss=983585644.5312, style loss=172165700000.0000, tv loss=8472324.0000
LBFGS | iteration: 015, total loss=144373628928.0000, content_loss=1247706933.5938, style loss=143116470000.0000, tv loss=9460520.0000
LBFGS | iteration: 016, total loss=115145064448.0000, content_loss=1345662207.0312, style loss=113789040000.0000, tv loss=10359407.0000
LBFGS | iteration: 017, total loss=89811288064.0000, content_loss=1599854492.1875, style loss=88200410000.0000, tv loss=11022091.0000
LBFGS | iteration: 018, total loss=78628298752.0000, content_loss=1360170507.8125, style loss=77256645000.0000, tv loss=11487994.0000
LBFGS | iteration: 019, total loss=64141139968.0000, content_loss=1554416406.2500, style loss=62575025000.0000, tv loss=11699716.0000
LBFGS | iteration: 020, total loss=54242217984.0000, content_loss=1834465820.3125, style loss=52395925000.0000, tv loss=11826036.0000
LBFGS | iteration: 021, total loss=48193028096.0000, content_loss=1616163867.1875, style loss=46564940000.0000, tv loss=11922795.0000
LBFGS | iteration: 022, total loss=44671787008.0000, content_loss=1677964648.4375, style loss=42981675000.0000, tv loss=12149824.0000
LBFGS | iteration: 023, total loss=37422284800.0000, content_loss=1806376171.8750, style loss=35603397500.0000, tv loss=12510554.0000
LBFGS | iteration: 024, total loss=32990052352.0000, content_loss=1720463476.5625, style loss=31256940000.0000, tv loss=12648271.0000
LBFGS | iteration: 025, total loss=29307783168.0000, content_loss=1883916601.5625, style loss=27410910000.0000, tv loss=12957452.0000
LBFGS | iteration: 026, total loss=27134509056.0000, content_loss=1851671093.7500, style loss=25269872500.0000, tv loss=12965426.0000
LBFGS | iteration: 027, total loss=24407519232.0000, content_loss=1846408203.1250, style loss=22548015000.0000, tv loss=13095739.0000
LBFGS | iteration: 028, total loss=21514776576.0000, content_loss=1943888476.5625, style loss=19557575000.0000, tv loss=13313150.0000
LBFGS | iteration: 029, total loss=21740386304.0000, content_loss=1725973046.8750, style loss=20001030000.0000, tv loss=13383434.0000
LBFGS | iteration: 030, total loss=20581976064.0000, content_loss=1835305468.7500, style loss=18733345000.0000, tv loss=13325756.0000
LBFGS | iteration: 031, total loss=19592001536.0000, content_loss=1850608398.4375, style loss=17728178750.0000, tv loss=13216626.0000
LBFGS | iteration: 032, total loss=18086668288.0000, content_loss=1895675781.2500, style loss=16177541250.0000, tv loss=13450630.0000
LBFGS | iteration: 033, total loss=16942261248.0000, content_loss=1894722070.3125, style loss=15034101250.0000, tv loss=13437452.0000
LBFGS | iteration: 034, total loss=15731929088.0000, content_loss=1924989062.5000, style loss=13793357500.0000, tv loss=13582834.0000
LBFGS | iteration: 035, total loss=14902215680.0000, content_loss=1882635156.2500, style loss=13005946250.0000, tv loss=13634958.0000
LBFGS | iteration: 036, total loss=14050869248.0000, content_loss=1920897656.2500, style loss=12116438750.0000, tv loss=13532102.0000
LBFGS | iteration: 037, total loss=13482586112.0000, content_loss=1930389257.8125, style loss=11538435000.0000, tv loss=13761043.0000
LBFGS | iteration: 038, total loss=12798936064.0000, content_loss=1927615039.0625, style loss=10857527500.0000, tv loss=13794452.0000
LBFGS | iteration: 039, total loss=12128074752.0000, content_loss=1915141601.5625, style loss=10199167500.0000, tv loss=13765829.0000
LBFGS | iteration: 040, total loss=11428446208.0000, content_loss=1952035156.2500, style loss=9462575000.0000, tv loss=13836260.0000
LBFGS | iteration: 041, total loss=11307438080.0000, content_loss=1878491796.8750, style loss=9414888125.0000, tv loss=14057710.0000
