Using config: {'content_img_name': 'lion.jpg', 'style_img_name': 'mosaic.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/lion.jpg', 'style_img_path': 'data/style_images/mosaic.jpg', 'dump_path': 'data/output_images/lion styled as mosaic/100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=2413789970432.0000, content_loss=      0.0000, style loss=2413709280000.0000, tv loss=80641000.0000
LBFGS | iteration: 002, total loss=2413789708288.0000, content_loss=      0.0000, style loss=2413708960000.0000, tv loss=80641000.0000
LBFGS | iteration: 003, total loss=2413789970432.0000, content_loss=      0.0000, style loss=2413709280000.0000, tv loss=80641000.0000
LBFGS | iteration: 004, total loss=2413789970432.0000, content_loss=      0.0000, style loss=2413709280000.0000, tv loss=80641000.0000
LBFGS | iteration: 005, total loss=2413789970432.0000, content_loss=      0.0000, style loss=2413709280000.0000, tv loss=80641000.0000
LBFGS | iteration: 006, total loss=2413789708288.0000, content_loss=      0.0001, style loss=2413708960000.0000, tv loss=80641000.0000
LBFGS | iteration: 007, total loss=2413789708288.0000, content_loss=      0.0001, style loss=2413708960000.0000, tv loss=80641000.0000
LBFGS | iteration: 008, total loss=2413789708288.0000, content_loss=      0.0001, style loss=2413708960000.0000, tv loss=80641000.0000
LBFGS | iteration: 009, total loss=2413789708288.0000, content_loss=      0.0001, style loss=2413708960000.0000, tv loss=80641000.0000
LBFGS | iteration: 010, total loss=2413789708288.0000, content_loss=      0.0001, style loss=2413708960000.0000, tv loss=80641000.0000
LBFGS | iteration: 011, total loss=2413633470464.0000, content_loss=    410.0402, style loss=2413552800000.0000, tv loss=80645944.0000
LBFGS | iteration: 012, total loss=2412245942272.0000, content_loss=  39247.3459, style loss=2412165280000.0000, tv loss=80690448.0000
LBFGS | iteration: 013, total loss=2405754732544.0000, content_loss= 999966.4307, style loss=2405672800000.0000, tv loss=80913632.0000
LBFGS | iteration: 014, total loss=2158851391488.0000, content_loss=295780957.0312, style loss=2158424480000.0000, tv loss=131079752.0000
LBFGS | iteration: 015, total loss=69302946365440.0000, content_loss=11489259375.0000, style loss=69290572800000.0000, tv loss=886611840.0000
LBFGS | iteration: 016, total loss=1921059520512.0000, content_loss=2396587109.3750, style loss=1918307040000.0000, tv loss=355875520.0000
LBFGS | iteration: 017, total loss=1535307546624.0000, content_loss=1532226562.5000, style loss=1533503680000.0000, tv loss=271546560.0000
LBFGS | iteration: 018, total loss=67578256949248.0000, content_loss=21183953125.0000, style loss=67556126720000.0000, tv loss=942999680.0000
LBFGS | iteration: 019, total loss=1532740370432.0000, content_loss=3723675390.6250, style loss=1528640800000.0000, tv loss=375851552.0000
LBFGS | iteration: 020, total loss=1368237146112.0000, content_loss=2648440820.3125, style loss=1365262240000.0000, tv loss=326467616.0000
LBFGS | iteration: 021, total loss=4029365354496.0000, content_loss=4687366015.6250, style loss=4024161600000.0000, tv loss=516338880.0000
LBFGS | iteration: 022, total loss=1010895814656.0000, content_loss=4233283593.7500, style loss=1006290960000.0000, tv loss=371557408.0000
LBFGS | iteration: 023, total loss=4036043472896.0000, content_loss=1289983105.4688, style loss=4034332480000.0000, tv loss=421128000.0000
LBFGS | iteration: 024, total loss=972952895488.0000, content_loss=2629746679.6875, style loss=969990000000.0000, tv loss=333150080.0000
LBFGS | iteration: 025, total loss=8163949543424.0000, content_loss=14756078125.0000, style loss=8148572160000.0000, tv loss=621425280.0000
LBFGS | iteration: 026, total loss=622664482816.0000, content_loss=5742796093.7500, style loss=616537720000.0000, tv loss=383943200.0000
LBFGS | iteration: 027, total loss=1150829068288.0000, content_loss=2518266015.6250, style loss=1147950800000.0000, tv loss=359862016.0000
LBFGS | iteration: 028, total loss=478176772096.0000, content_loss=4891574609.3750, style loss=472921960000.0000, tv loss=363223040.0000
LBFGS | iteration: 029, total loss=628052787200.0000, content_loss=7907885937.5000, style loss=619718200000.0000, tv loss=426674432.0000
LBFGS | iteration: 030, total loss=367908388864.0000, content_loss=6340426562.5000, style loss=361185640000.0000, tv loss=382342688.0000
LBFGS | iteration: 031, total loss=557930119168.0000, content_loss=3458106250.0000, style loss=554119200000.0000, tv loss=352804384.0000
LBFGS | iteration: 032, total loss=300732350464.0000, content_loss=5293293359.3750, style loss=295070880000.0000, tv loss=368157504.0000
LBFGS | iteration: 033, total loss=263464534016.0000, content_loss=6484313671.8750, style loss=256578220000.0000, tv loss=401997760.0000
LBFGS | iteration: 034, total loss=855446716416.0000, content_loss=2391317187.5000, style loss=852706400000.0000, tv loss=349006848.0000
LBFGS | iteration: 035, total loss=220563390464.0000, content_loss=5389010546.8750, style loss=214786140000.0000, tv loss=388235136.0000
LBFGS | iteration: 036, total loss=292350459904.0000, content_loss=6484358984.3750, style loss=285484960000.0000, tv loss=381111360.0000
LBFGS | iteration: 037, total loss=190494588928.0000, content_loss=6207622265.6250, style loss=183904980000.0000, tv loss=382000640.0000
LBFGS | iteration: 038, total loss=170639949824.0000, content_loss=5446222656.2500, style loss=164795630000.0000, tv loss=398106112.0000
LBFGS | iteration: 039, total loss=159725355008.0000, content_loss=6185008593.7500, style loss=153141570000.0000, tv loss=398766976.0000
LBFGS | iteration: 040, total loss=419678322688.0000, content_loss=5983665234.3750, style loss=413238720000.0000, tv loss=455927488.0000
LBFGS | iteration: 041, total loss=137719529472.0000, content_loss=6376295312.5000, style loss=130938710000.0000, tv loss=404524512.0000
LBFGS | iteration: 042, total loss=238373027840.0000, content_loss=4703912500.0000, style loss=233249700000.0000, tv loss=419408896.0000
LBFGS | iteration: 043, total loss=117595062272.0000, content_loss=5802014062.5000, style loss=111386950000.0000, tv loss=406097600.0000
LBFGS | iteration: 044, total loss=123130798080.0000, content_loss=6740186718.7500, style loss=115985490000.0000, tv loss=405114976.0000
LBFGS | iteration: 045, total loss=108124528640.0000, content_loss=6232742578.1250, style loss=101486350000.0000, tv loss=405436864.0000
LBFGS | iteration: 046, total loss=115401629696.0000, content_loss=5570004687.5000, style loss=109438410000.0000, tv loss=393218752.0000
LBFGS | iteration: 047, total loss=100273684480.0000, content_loss=5976944140.6250, style loss=93896750000.0000, tv loss=399992768.0000
LBFGS | iteration: 048, total loss=99851132928.0000, content_loss=5729274218.7500, style loss=93706630000.0000, tv loss=415225920.0000
LBFGS | iteration: 049, total loss=87242104832.0000, content_loss=5950964062.5000, style loss=80885240000.0000, tv loss=405899200.0000
LBFGS | iteration: 050, total loss=116037681152.0000, content_loss=6443260546.8750, style loss=109153550000.0000, tv loss=440871552.0000
LBFGS | iteration: 051, total loss=78167769088.0000, content_loss=6356642968.7500, style loss=71396575000.0000, tv loss=414556992.0000
LBFGS | iteration: 052, total loss=183297441792.0000, content_loss=4657868750.0000, style loss=178231900000.0000, tv loss=407660672.0000
LBFGS | iteration: 053, total loss=72775671808.0000, content_loss=6071210546.8750, style loss=66292295000.0000, tv loss=412162272.0000
