Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'candy.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\mona_lisa.jpeg', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\candy.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\mona_lisa styled as candy\\100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=27665915904.0000, content_loss=      0.0000, style loss=27660410000.0000, tv loss=5505467.0000
LBFGS | iteration: 002, total loss=27665881088.0000, content_loss=      0.0031, style loss=27660376000.0000, tv loss=5505467.0000
LBFGS | iteration: 003, total loss=27665711104.0000, content_loss=      0.0769, style loss=27660206000.0000, tv loss=5505470.0000
LBFGS | iteration: 004, total loss=27664603136.0000, content_loss=      3.0604, style loss=27659098000.0000, tv loss=5505485.5000
LBFGS | iteration: 005, total loss=27652784128.0000, content_loss=    305.7349, style loss=27647280000.0000, tv loss=5505653.0000
LBFGS | iteration: 006, total loss=27536418816.0000, content_loss=  30036.0024, style loss=27530882000.0000, tv loss=5507328.0000
LBFGS | iteration: 007, total loss=26528743424.0000, content_loss=2601251.7929, style loss=26520618000.0000, tv loss=5524088.0000
LBFGS | iteration: 008, total loss=22837506048.0000, content_loss=57607836.9141, style loss=22774240000.0000, tv loss=5658677.0000
LBFGS | iteration: 009, total loss=19521583104.0000, content_loss=174203527.8320, style loss=19341462000.0000, tv loss=5919679.0000
LBFGS | iteration: 010, total loss=15583049728.0000, content_loss=432732177.7344, style loss=15143700000.0000, tv loss=6616785.0000
LBFGS | iteration: 011, total loss=12665742336.0000, content_loss=670903857.4219, style loss=11987264000.0000, tv loss=7574483.0000
LBFGS | iteration: 012, total loss=10728218624.0000, content_loss=790237451.1719, style loss=9929676000.0000, tv loss=8305922.0000
LBFGS | iteration: 013, total loss=9066271744.0000, content_loss=885648828.1250, style loss=8171667500.0000, tv loss=8955866.0000
LBFGS | iteration: 014, total loss=7585624064.0000, content_loss=919759277.3438, style loss=6656332500.0000, tv loss=9532517.0000
LBFGS | iteration: 015, total loss=6587376128.0000, content_loss=1033782910.1562, style loss=5543619500.0000, tv loss=9973729.0000
LBFGS | iteration: 016, total loss=5852973056.0000, content_loss=918797070.3125, style loss=4924132500.0000, tv loss=10043395.0000
LBFGS | iteration: 017, total loss=5387043328.0000, content_loss=971946972.6562, style loss=4404938500.0000, tv loss=10157617.0000
LBFGS | iteration: 018, total loss=4825996800.0000, content_loss=1018108398.4375, style loss=3797475250.0000, tv loss=10413038.0000
LBFGS | iteration: 019, total loss=4338647040.0000, content_loss=977430468.7500, style loss=3350666000.0000, tv loss=10550596.0000
LBFGS | iteration: 020, total loss=4035164672.0000, content_loss=1060207617.1875, style loss=2964155250.0000, tv loss=10801916.0000
LBFGS | iteration: 021, total loss=3799149568.0000, content_loss=1015581152.3438, style loss=2772890750.0000, tv loss=10677881.0000
LBFGS | iteration: 022, total loss=3597704448.0000, content_loss=999487207.0312, style loss=2587402750.0000, tv loss=10814517.0000
LBFGS | iteration: 023, total loss=3373380608.0000, content_loss=1029906054.6875, style loss=2332536250.0000, tv loss=10938346.0000
LBFGS | iteration: 024, total loss=3274548992.0000, content_loss=969665917.9688, style loss=2293801000.0000, tv loss=11081857.0000
LBFGS | iteration: 025, total loss=3137848576.0000, content_loss=996496386.7188, style loss=2130378750.0000, tv loss=10973456.0000
LBFGS | iteration: 026, total loss=2997342976.0000, content_loss=1020116796.8750, style loss=1966129875.0000, tv loss=11096428.0000
LBFGS | iteration: 027, total loss=2902192640.0000, content_loss=992511230.4688, style loss=1898528500.0000, tv loss=11152924.0000
LBFGS | iteration: 028, total loss=2781514240.0000, content_loss=973994628.9062, style loss=1796253000.0000, tv loss=11266432.0000
LBFGS | iteration: 029, total loss=2668994560.0000, content_loss=979550781.2500, style loss=1678175125.0000, tv loss=11268617.0000
LBFGS | iteration: 030, total loss=2585438976.0000, content_loss=969417382.8125, style loss=1604663000.0000, tv loss=11358554.0000
LBFGS | iteration: 031, total loss=2523004416.0000, content_loss=984090820.3125, style loss=1527581375.0000, tv loss=11332399.0000
LBFGS | iteration: 032, total loss=2462886400.0000, content_loss=957172167.9688, style loss=1494338625.0000, tv loss=11375696.0000
LBFGS | iteration: 033, total loss=2399799296.0000, content_loss=962545312.5000, style loss=1425899875.0000, tv loss=11354015.0000
LBFGS | iteration: 034, total loss=2348373248.0000, content_loss=960526855.4688, style loss=1376463750.0000, tv loss=11382546.0000
LBFGS | iteration: 035, total loss=2288313600.0000, content_loss=965308886.7188, style loss=1311480000.0000, tv loss=11524582.0000
LBFGS | iteration: 036, total loss=2245152256.0000, content_loss=924890917.9688, style loss=1308812500.0000, tv loss=11448944.0000
LBFGS | iteration: 037, total loss=2204736768.0000, content_loss=960529687.5000, style loss=1232643375.0000, tv loss=11563686.0000
LBFGS | iteration: 038, total loss=2181867520.0000, content_loss=953114257.8125, style loss=1217160125.0000, tv loss=11593230.0000
LBFGS | iteration: 039, total loss=2126924160.0000, content_loss=932368554.6875, style loss=1182933125.0000, tv loss=11622540.0000
LBFGS | iteration: 040, total loss=2090218368.0000, content_loss=930632910.1562, style loss=1147972625.0000, tv loss=11612816.0000
