Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'ben_giles.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/tubingen.png', 'style_img_path': 'data/style_images/ben_giles.jpg', 'dump_path': 'data/output_images/tubingen styled as ben_giles/100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=348286058496.0000, content_loss=      0.0000, style loss=348270920000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=348285665280.0000, content_loss=      0.0024, style loss=348270520000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=348284747776.0000, content_loss=      0.0259, style loss=348269600000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=348283109376.0000, content_loss=      0.1346, style loss=348267960000.0000, tv loss=15154264.0000
LBFGS | iteration: 005, total loss=348266004480.0000, content_loss=      6.3734, style loss=348250880000.0000, tv loss=15154248.0000
LBFGS | iteration: 006, total loss=348175794176.0000, content_loss=    193.0022, style loss=348160640000.0000, tv loss=15154169.0000
LBFGS | iteration: 007, total loss=347189444608.0000, content_loss=  19200.0404, style loss=347174280000.0000, tv loss=15153309.0000
LBFGS | iteration: 008, total loss=337821171712.0000, content_loss=1850093.0786, style loss=337804200000.0000, tv loss=15144724.0000
LBFGS | iteration: 009, total loss=302440939520.0000, content_loss=44277600.0977, style loss=302381580000.0000, tv loss=15108375.0000
LBFGS | iteration: 010, total loss=242802458624.0000, content_loss=301984350.5859, style loss=242485440000.0000, tv loss=15031573.0000
LBFGS | iteration: 011, total loss=190946263040.0000, content_loss=695576416.0156, style loss=190235620000.0000, tv loss=15052024.0000
LBFGS | iteration: 012, total loss=125698195456.0000, content_loss=1429700097.6562, style loss=124252890000.0000, tv loss=15607985.0000
LBFGS | iteration: 013, total loss=96030531584.0000, content_loss=2338331054.6875, style loss=93675470000.0000, tv loss=16725528.0000
LBFGS | iteration: 014, total loss=74947887104.0000, content_loss=2066524023.4375, style loss=72864680000.0000, tv loss=16689512.0000
LBFGS | iteration: 015, total loss=61576892416.0000, content_loss=2163171093.7500, style loss=59397225000.0000, tv loss=16496006.0000
LBFGS | iteration: 016, total loss=50888007680.0000, content_loss=2365348242.1875, style loss=48506105000.0000, tv loss=16550606.0000
LBFGS | iteration: 017, total loss=41643270144.0000, content_loss=2411345117.1875, style loss=39215217500.0000, tv loss=16706775.0000
LBFGS | iteration: 018, total loss=35744804864.0000, content_loss=2638078125.0000, style loss=33089750000.0000, tv loss=16976704.0000
LBFGS | iteration: 019, total loss=31751766016.0000, content_loss=2530987304.6875, style loss=29203727500.0000, tv loss=17049840.0000
LBFGS | iteration: 020, total loss=28990517248.0000, content_loss=2595828906.2500, style loss=26377607500.0000, tv loss=17079900.0000
LBFGS | iteration: 021, total loss=25631948800.0000, content_loss=2692222851.5625, style loss=22922537500.0000, tv loss=17189712.0000
LBFGS | iteration: 022, total loss=23030018048.0000, content_loss=2642292968.7500, style loss=20370406250.0000, tv loss=17319386.0000
LBFGS | iteration: 023, total loss=21013518336.0000, content_loss=2756624218.7500, style loss=18239490000.0000, tv loss=17404342.0000
LBFGS | iteration: 024, total loss=19821031424.0000, content_loss=2733243750.0000, style loss=17070453750.0000, tv loss=17334464.0000
