Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'mosaic.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/tubingen.png', 'style_img_path': 'data/style_images/mosaic.jpg', 'dump_path': 'data/output_images/tubingen styled as mosaic/100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=1790939234304.0000, content_loss=      0.0000, style loss=1790924000000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=1790938710016.0000, content_loss=      0.0017, style loss=1790923520000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=1790937923584.0000, content_loss=      0.0089, style loss=1790922720000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=1790937661440.0000, content_loss=      0.0142, style loss=1790922400000.0000, tv loss=15154265.0000
LBFGS | iteration: 005, total loss=1790931238912.0000, content_loss=      0.4251, style loss=1790916000000.0000, tv loss=15154270.0000
LBFGS | iteration: 006, total loss=1790895718400.0000, content_loss=     12.8806, style loss=1790880480000.0000, tv loss=15154294.0000
LBFGS | iteration: 007, total loss=1790700027904.0000, content_loss=    389.6798, style loss=1790684800000.0000, tv loss=15154427.0000
LBFGS | iteration: 008, total loss=1788556214272.0000, content_loss=  38411.5905, style loss=1788540960000.0000, tv loss=15155886.0000
LBFGS | iteration: 009, total loss=1768092860416.0000, content_loss=3244717.0258, style loss=1768074400000.0000, tv loss=15170646.0000
LBFGS | iteration: 010, total loss=1699339960320.0000, content_loss=43702285.7666, style loss=1699281120000.0000, tv loss=15261792.0000
LBFGS | iteration: 011, total loss=1493970059264.0000, content_loss=350339038.0859, style loss=1493603680000.0000, tv loss=15976163.0000
LBFGS | iteration: 012, total loss=1131525439488.0000, content_loss=1322219824.2188, style loss=1130184320000.0000, tv loss=18820664.0000
LBFGS | iteration: 013, total loss=1047360307200.0000, content_loss=3616431640.6250, style loss=1043719600000.0000, tv loss=24334650.0000
LBFGS | iteration: 014, total loss=711582285824.0000, content_loss=3133658593.7500, style loss=708425760000.0000, tv loss=22843920.0000
LBFGS | iteration: 015, total loss=568056414208.0000, content_loss=3715741015.6250, style loss=564317560000.0000, tv loss=23062176.0000
LBFGS | iteration: 016, total loss=419981295616.0000, content_loss=4537943750.0000, style loss=415419160000.0000, tv loss=24188652.0000
LBFGS | iteration: 017, total loss=329882271744.0000, content_loss=4323839453.1250, style loss=325533460000.0000, tv loss=24957514.0000
LBFGS | iteration: 018, total loss=283904245760.0000, content_loss=5265098828.1250, style loss=278613120000.0000, tv loss=26028800.0000
LBFGS | iteration: 019, total loss=242129895424.0000, content_loss=4822979296.8750, style loss=237281380000.0000, tv loss=25547472.0000
LBFGS | iteration: 020, total loss=216239144960.0000, content_loss=4876948437.5000, style loss=211336620000.0000, tv loss=25577172.0000
LBFGS | iteration: 021, total loss=175564095488.0000, content_loss=5077805078.1250, style loss=170460120000.0000, tv loss=26170710.0000
LBFGS | iteration: 022, total loss=145839325184.0000, content_loss=5258695703.1250, style loss=140553840000.0000, tv loss=26788516.0000
LBFGS | iteration: 023, total loss=127338684416.0000, content_loss=5173968750.0000, style loss=122137730000.0000, tv loss=26982488.0000
LBFGS | iteration: 024, total loss=109650575360.0000, content_loss=5512913671.8750, style loss=104110240000.0000, tv loss=27417688.0000
LBFGS | iteration: 025, total loss=102262964224.0000, content_loss=5337926171.8750, style loss=96897580000.0000, tv loss=27455908.0000
LBFGS | iteration: 026, total loss=93787865088.0000, content_loss=5432293359.3750, style loss=88327870000.0000, tv loss=27699124.0000
LBFGS | iteration: 027, total loss=84111417344.0000, content_loss=5575283203.1250, style loss=78508120000.0000, tv loss=28010888.0000
LBFGS | iteration: 028, total loss=76082413568.0000, content_loss=5538812890.6250, style loss=70515380000.0000, tv loss=28222252.0000
LBFGS | iteration: 029, total loss=69334376448.0000, content_loss=5780183203.1250, style loss=63525580000.0000, tv loss=28614420.0000
LBFGS | iteration: 030, total loss=66121142272.0000, content_loss=5578648046.8750, style loss=60513900000.0000, tv loss=28595952.0000
LBFGS | iteration: 031, total loss=62817325056.0000, content_loss=5627843750.0000, style loss=57161005000.0000, tv loss=28480482.0000
LBFGS | iteration: 032, total loss=59033808896.0000, content_loss=5711432421.8750, style loss=53293605000.0000, tv loss=28769926.0000
LBFGS | iteration: 033, total loss=54759665664.0000, content_loss=5753714453.1250, style loss=48976990000.0000, tv loss=28961696.0000
LBFGS | iteration: 034, total loss=52833456128.0000, content_loss=5927272265.6250, style loss=46876785000.0000, tv loss=29398502.0000
LBFGS | iteration: 035, total loss=49588576256.0000, content_loss=5823846484.3750, style loss=43735655000.0000, tv loss=29072360.0000
LBFGS | iteration: 036, total loss=48461766656.0000, content_loss=5789891015.6250, style loss=42642765000.0000, tv loss=29111564.0000
LBFGS | iteration: 037, total loss=46577287168.0000, content_loss=5819149609.3750, style loss=40728992500.0000, tv loss=29142388.0000
LBFGS | iteration: 038, total loss=44867846144.0000, content_loss=5834120703.1250, style loss=39004352500.0000, tv loss=29370762.0000
LBFGS | iteration: 039, total loss=43206500352.0000, content_loss=5936980859.3750, style loss=37240162500.0000, tv loss=29355250.0000
LBFGS | iteration: 040, total loss=41739706368.0000, content_loss=5897053125.0000, style loss=35813300000.0000, tv loss=29354092.0000
LBFGS | iteration: 041, total loss=40416288768.0000, content_loss=5863494140.6250, style loss=34523330000.0000, tv loss=29468332.0000
LBFGS | iteration: 042, total loss=38940307456.0000, content_loss=5908520703.1250, style loss=33002272500.0000, tv loss=29515158.0000
LBFGS | iteration: 043, total loss=37384327168.0000, content_loss=5957140625.0000, style loss=31397582500.0000, tv loss=29600648.0000
LBFGS | iteration: 044, total loss=36203331584.0000, content_loss=5915264062.5000, style loss=30258487500.0000, tv loss=29582138.0000
LBFGS | iteration: 045, total loss=34592976896.0000, content_loss=5995957812.5000, style loss=28567337500.0000, tv loss=29683174.0000
LBFGS | iteration: 046, total loss=33845600256.0000, content_loss=5965676171.8750, style loss=27850137500.0000, tv loss=29786408.0000
LBFGS | iteration: 047, total loss=32830998528.0000, content_loss=5976020312.5000, style loss=26825230000.0000, tv loss=29748208.0000
LBFGS | iteration: 048, total loss=32604532736.0000, content_loss=6035753125.0000, style loss=26538617500.0000, tv loss=30162814.0000
LBFGS | iteration: 049, total loss=32111894528.0000, content_loss=6016879296.8750, style loss=26065050000.0000, tv loss=29966362.0000
LBFGS | iteration: 050, total loss=31028340736.0000, content_loss=6041590625.0000, style loss=24956802500.0000, tv loss=29947372.0000
LBFGS | iteration: 051, total loss=30689507328.0000, content_loss=5953602734.3750, style loss=24706007500.0000, tv loss=29899608.0000
LBFGS | iteration: 052, total loss=29720524800.0000, content_loss=6024323437.5000, style loss=23666247500.0000, tv loss=29953440.0000
LBFGS | iteration: 053, total loss=29248028672.0000, content_loss=6028493359.3750, style loss=23189517500.0000, tv loss=30018444.0000
LBFGS | iteration: 054, total loss=28645941248.0000, content_loss=6033969921.8750, style loss=22581827500.0000, tv loss=30141848.0000
LBFGS | iteration: 055, total loss=28097587200.0000, content_loss=6012165625.0000, style loss=22055357500.0000, tv loss=30062612.0000
LBFGS | iteration: 056, total loss=27475877888.0000, content_loss=6068645703.1250, style loss=21377042500.0000, tv loss=30188756.0000
LBFGS | iteration: 057, total loss=27151810560.0000, content_loss=6053475000.0000, style loss=21068100000.0000, tv loss=30236344.0000
LBFGS | iteration: 058, total loss=26726606848.0000, content_loss=6071789062.5000, style loss=20624613750.0000, tv loss=30204436.0000
LBFGS | iteration: 059, total loss=26142654464.0000, content_loss=6056323046.8750, style loss=20055976250.0000, tv loss=30355318.0000
LBFGS | iteration: 060, total loss=25622642688.0000, content_loss=6085828515.6250, style loss=19506496250.0000, tv loss=30318028.0000
LBFGS | iteration: 061, total loss=25211045888.0000, content_loss=6094745703.1250, style loss=19085910000.0000, tv loss=30389264.0000
LBFGS | iteration: 062, total loss=24614522880.0000, content_loss=6092130859.3750, style loss=18491931250.0000, tv loss=30461418.0000
LBFGS | iteration: 063, total loss=24157927424.0000, content_loss=6095301953.1250, style loss=18032190000.0000, tv loss=30434692.0000
LBFGS | iteration: 064, total loss=23638192128.0000, content_loss=6115044921.8750, style loss=17492716250.0000, tv loss=30430884.0000
LBFGS | iteration: 065, total loss=23517214720.0000, content_loss=6060589453.1250, style loss=17426046250.0000, tv loss=30578120.0000
LBFGS | iteration: 066, total loss=23157968896.0000, content_loss=6098842187.5000, style loss=17028578750.0000, tv loss=30547120.0000
LBFGS | iteration: 067, total loss=22960826368.0000, content_loss=6103578125.0000, style loss=16826716250.0000, tv loss=30530724.0000
LBFGS | iteration: 068, total loss=22536519680.0000, content_loss=6106939453.1250, style loss=16398980000.0000, tv loss=30601146.0000
LBFGS | iteration: 069, total loss=22066651136.0000, content_loss=6102153125.0000, style loss=15933933750.0000, tv loss=30564252.0000
LBFGS | iteration: 070, total loss=21928040448.0000, content_loss=6162968750.0000, style loss=15734151250.0000, tv loss=30920728.0000
LBFGS | iteration: 071, total loss=21762945024.0000, content_loss=6142991796.8750, style loss=15589186250.0000, tv loss=30767636.0000
LBFGS | iteration: 072, total loss=21389402112.0000, content_loss=6158260546.8750, style loss=15200358750.0000, tv loss=30783144.0000
LBFGS | iteration: 073, total loss=21625436160.0000, content_loss=6047380859.3750, style loss=15547256250.0000, tv loss=30798930.0000
LBFGS | iteration: 074, total loss=21185978368.0000, content_loss=6112861328.1250, style loss=15042335000.0000, tv loss=30780774.0000
LBFGS | iteration: 075, total loss=20980211712.0000, content_loss=6113381640.6250, style loss=14836075000.0000, tv loss=30754788.0000
LBFGS | iteration: 076, total loss=20632801280.0000, content_loss=6135775390.6250, style loss=14466208750.0000, tv loss=30818660.0000
LBFGS | iteration: 077, total loss=20201857024.0000, content_loss=6124645703.1250, style loss=14046330000.0000, tv loss=30881728.0000
LBFGS | iteration: 078, total loss=19977656320.0000, content_loss=6176190234.3750, style loss=13770610000.0000, tv loss=30857836.0000
LBFGS | iteration: 079, total loss=19714549760.0000, content_loss=6181822265.6250, style loss=13501871250.0000, tv loss=30856468.0000
LBFGS | iteration: 080, total loss=19648303104.0000, content_loss=6091382421.8750, style loss=13525886250.0000, tv loss=31036260.0000
LBFGS | iteration: 081, total loss=19505735680.0000, content_loss=6131665625.0000, style loss=13343116250.0000, tv loss=30952808.0000
LBFGS | iteration: 082, total loss=19360589824.0000, content_loss=6129073437.5000, style loss=13200572500.0000, tv loss=30943988.0000
