Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'okeffe_red_canna.png', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/tubingen.png', 'style_img_path': 'data/style_images/okeffe_red_canna.png', 'dump_path': 'data/output_images/tubingen styled as okeffe_red_canna/100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=27094732800.0000, content_loss=      0.0000, style loss=27079578000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=27094683648.0000, content_loss=      0.0030, style loss=27079528000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=27094536192.0000, content_loss=      0.0488, style loss=27079382000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=27093635072.0000, content_loss=      1.4742, style loss=27078480000.0000, tv loss=15154255.0000
LBFGS | iteration: 005, total loss=27088132096.0000, content_loss=     53.4018, style loss=27072976000.0000, tv loss=15154202.0000
LBFGS | iteration: 006, total loss=27058438144.0000, content_loss=   1616.3109, style loss=27043282000.0000, tv loss=15153919.0000
LBFGS | iteration: 007, total loss=26736726016.0000, content_loss= 159979.7845, style loss=26721416000.0000, tv loss=15150806.0000
LBFGS | iteration: 008, total loss=23960875008.0000, content_loss=14248570.2515, style loss=23931506000.0000, tv loss=15120573.0000
LBFGS | iteration: 009, total loss=16067245056.0000, content_loss=275839550.7812, style loss=15776436000.0000, tv loss=14969074.0000
LBFGS | iteration: 010, total loss=12963139584.0000, content_loss=494417626.9531, style loss=12453967000.0000, tv loss=14755004.0000
LBFGS | iteration: 011, total loss=10689294336.0000, content_loss=747828125.0000, style loss=9927045000.0000, tv loss=14421137.0000
LBFGS | iteration: 012, total loss=9509496832.0000, content_loss=905551074.2188, style loss=8589853000.0000, tv loss=14092770.0000
LBFGS | iteration: 013, total loss=8826054656.0000, content_loss=976158105.4688, style loss=7836043500.0000, tv loss=13853581.0000
LBFGS | iteration: 014, total loss=8353773056.0000, content_loss=999447460.9375, style loss=7340647500.0000, tv loss=13678055.0000
LBFGS | iteration: 015, total loss=7983789056.0000, content_loss=993259667.9688, style loss=6976996500.0000, tv loss=13533034.0000
LBFGS | iteration: 016, total loss=7667998720.0000, content_loss=969113183.5938, style loss=6685478500.0000, tv loss=13407482.0000
LBFGS | iteration: 017, total loss=7395485696.0000, content_loss=941145605.4688, style loss=6441040000.0000, tv loss=13300278.0000
LBFGS | iteration: 018, total loss=7162725376.0000, content_loss=923222167.9688, style loss=6226289500.0000, tv loss=13213589.0000
LBFGS | iteration: 019, total loss=6956705280.0000, content_loss=919685156.2500, style loss=6023872500.0000, tv loss=13147587.0000
LBFGS | iteration: 020, total loss=6772716544.0000, content_loss=923500292.9688, style loss=5836118500.0000, tv loss=13098218.0000
LBFGS | iteration: 021, total loss=6609146880.0000, content_loss=927428417.9688, style loss=5668654000.0000, tv loss=13064378.0000
LBFGS | iteration: 022, total loss=6457305088.0000, content_loss=927285058.5938, style loss=5516978000.0000, tv loss=13041501.0000
LBFGS | iteration: 023, total loss=6316633600.0000, content_loss=925330566.4062, style loss=5378270500.0000, tv loss=13032211.0000
LBFGS | iteration: 024, total loss=6183329280.0000, content_loss=923035449.2188, style loss=5247258000.0000, tv loss=13035521.0000
LBFGS | iteration: 025, total loss=6054831616.0000, content_loss=923683789.0625, style loss=5118092500.0000, tv loss=13055498.0000
LBFGS | iteration: 026, total loss=5930937856.0000, content_loss=927317285.1562, style loss=4990527000.0000, tv loss=13093340.0000
LBFGS | iteration: 027, total loss=5811675136.0000, content_loss=932665722.6562, style loss=4865864500.0000, tv loss=13144829.0000
LBFGS | iteration: 028, total loss=5695275520.0000, content_loss=936544335.9375, style loss=4745525500.0000, tv loss=13206174.0000
LBFGS | iteration: 029, total loss=5581823488.0000, content_loss=939362597.6562, style loss=4629178500.0000, tv loss=13282530.0000
LBFGS | iteration: 030, total loss=5471951360.0000, content_loss=941753808.5938, style loss=4516825500.0000, tv loss=13372020.0000
LBFGS | iteration: 031, total loss=5363817472.0000, content_loss=944145410.1562, style loss=4406201000.0000, tv loss=13471181.0000
LBFGS | iteration: 032, total loss=5257236992.0000, content_loss=947044238.2812, style loss=4296612000.0000, tv loss=13580546.0000
LBFGS | iteration: 033, total loss=5152576000.0000, content_loss=950683593.7500, style loss=4188189250.0000, tv loss=13703010.0000
LBFGS | iteration: 034, total loss=5050227712.0000, content_loss=952892968.7500, style loss=4083512250.0000, tv loss=13822504.0000
LBFGS | iteration: 035, total loss=4949828096.0000, content_loss=956295507.8125, style loss=3979575000.0000, tv loss=13957434.0000
LBFGS | iteration: 036, total loss=4852116992.0000, content_loss=958072167.9688, style loss=3879948000.0000, tv loss=14097114.0000
LBFGS | iteration: 037, total loss=4757515264.0000, content_loss=960621582.0312, style loss=3782647750.0000, tv loss=14246098.0000
LBFGS | iteration: 038, total loss=4665505280.0000, content_loss=960596484.3750, style loss=3690533250.0000, tv loss=14375636.0000
LBFGS | iteration: 039, total loss=4576947200.0000, content_loss=962849902.3438, style loss=3599574750.0000, tv loss=14522259.0000
LBFGS | iteration: 040, total loss=4491838976.0000, content_loss=962968359.3750, style loss=3514223250.0000, tv loss=14647500.0000
LBFGS | iteration: 041, total loss=4409619456.0000, content_loss=963493261.7188, style loss=3431350750.0000, tv loss=14775434.0000
LBFGS | iteration: 042, total loss=4330610688.0000, content_loss=963860253.9062, style loss=3351855250.0000, tv loss=14895285.0000
LBFGS | iteration: 043, total loss=4254774272.0000, content_loss=963224804.6875, style loss=3276550250.0000, tv loss=14999358.0000
LBFGS | iteration: 044, total loss=4182644480.0000, content_loss=963858496.0938, style loss=3203669000.0000, tv loss=15117080.0000
LBFGS | iteration: 045, total loss=4112141824.0000, content_loss=961998339.8438, style loss=3134950250.0000, tv loss=15193348.0000
LBFGS | iteration: 046, total loss=4044285184.0000, content_loss=962920312.5000, style loss=3066054000.0000, tv loss=15311180.0000
LBFGS | iteration: 047, total loss=3978503936.0000, content_loss=958856933.5938, style loss=3004302000.0000, tv loss=15344998.0000
LBFGS | iteration: 048, total loss=3915386368.0000, content_loss=961749609.3750, style loss=2938145000.0000, tv loss=15491627.0000
LBFGS | iteration: 049, total loss=3852942336.0000, content_loss=954022460.9375, style loss=2883463250.0000, tv loss=15456675.0000
LBFGS | iteration: 050, total loss=3791723008.0000, content_loss=961541601.5625, style loss=2814521250.0000, tv loss=15660067.0000
LBFGS | iteration: 051, total loss=3730512384.0000, content_loss=951494628.9062, style loss=2763444750.0000, tv loss=15573070.0000
LBFGS | iteration: 052, total loss=3669057792.0000, content_loss=958324121.0938, style loss=2694989000.0000, tv loss=15744664.0000
LBFGS | iteration: 053, total loss=3608040704.0000, content_loss=953255175.7812, style loss=2639073500.0000, tv loss=15711883.0000
LBFGS | iteration: 054, total loss=3550139392.0000, content_loss=955965527.3438, style loss=2578349500.0000, tv loss=15824504.0000
LBFGS | iteration: 055, total loss=3492966144.0000, content_loss=952424511.7188, style loss=2524700500.0000, tv loss=15841403.0000
LBFGS | iteration: 056, total loss=3437285888.0000, content_loss=952042871.0938, style loss=2469343250.0000, tv loss=15899734.0000
LBFGS | iteration: 057, total loss=3382898688.0000, content_loss=951769628.9062, style loss=2415190750.0000, tv loss=15938367.0000
LBFGS | iteration: 058, total loss=3329481728.0000, content_loss=951138964.8438, style loss=2362360750.0000, tv loss=15982042.0000
LBFGS | iteration: 059, total loss=3278475008.0000, content_loss=949602441.4062, style loss=2312858750.0000, tv loss=16014207.0000
LBFGS | iteration: 060, total loss=3228235264.0000, content_loss=948958300.7812, style loss=2263215750.0000, tv loss=16061205.0000
