Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'picasso_weeping_woman.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\tubingen.png', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\picasso_weeping_woman.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\tubingen styled as picasso_weeping_woman\\100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=239073656832.0000, content_loss=      0.0000, style loss=239058500000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=239073247232.0000, content_loss=      0.0042, style loss=239058100000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=239072690176.0000, content_loss=      0.0202, style loss=239057540000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=239068413952.0000, content_loss=      0.5700, style loss=239053260000.0000, tv loss=15154262.0000
LBFGS | iteration: 005, total loss=239044673536.0000, content_loss=     17.2058, style loss=239029520000.0000, tv loss=15154248.0000
LBFGS | iteration: 006, total loss=238786248704.0000, content_loss=   1697.4786, style loss=238771100000.0000, tv loss=15154097.0000
LBFGS | iteration: 007, total loss=237504299008.0000, content_loss=  51111.3644, style loss=237489100000.0000, tv loss=15153338.0000
LBFGS | iteration: 008, total loss=230794444800.0000, content_loss=1502857.6851, style loss=230777780000.0000, tv loss=15149178.0000
LBFGS | iteration: 009, total loss=202692706304.0000, content_loss=37011190.7959, style loss=202640560000.0000, tv loss=15130762.0000
LBFGS | iteration: 010, total loss=158481793024.0000, content_loss=247724682.6172, style loss=158218970000.0000, tv loss=15090744.0000
LBFGS | iteration: 011, total loss=127201230848.0000, content_loss=518258398.4375, style loss=126667890000.0000, tv loss=15079366.0000
LBFGS | iteration: 012, total loss=95761850368.0000, content_loss=924546386.7188, style loss=94822010000.0000, tv loss=15296964.0000
LBFGS | iteration: 013, total loss=79337537536.0000, content_loss=1251777441.4062, style loss=78070160000.0000, tv loss=15600984.0000
LBFGS | iteration: 014, total loss=66004594688.0000, content_loss=1397899511.7188, style loss=64591105000.0000, tv loss=15591058.0000
LBFGS | iteration: 015, total loss=55847596032.0000, content_loss=1518913769.5312, style loss=54313055000.0000, tv loss=15627115.0000
LBFGS | iteration: 016, total loss=47937060864.0000, content_loss=1639350390.6250, style loss=46281955000.0000, tv loss=15755510.0000
LBFGS | iteration: 017, total loss=41443332096.0000, content_loss=1729617773.4375, style loss=39697870000.0000, tv loss=15842494.0000
LBFGS | iteration: 018, total loss=36040851456.0000, content_loss=1811661132.8125, style loss=34213272500.0000, tv loss=15918328.0000
LBFGS | iteration: 019, total loss=31641194496.0000, content_loss=1891790429.6875, style loss=29733390000.0000, tv loss=16014048.0000
LBFGS | iteration: 020, total loss=28000970752.0000, content_loss=1959964062.5000, style loss=26024897500.0000, tv loss=16108652.0000
LBFGS | iteration: 021, total loss=24902113280.0000, content_loss=2031349804.6875, style loss=22854515000.0000, tv loss=16249187.0000
LBFGS | iteration: 022, total loss=22219810816.0000, content_loss=2072015429.6875, style loss=20131433750.0000, tv loss=16361488.0000
LBFGS | iteration: 023, total loss=20136540160.0000, content_loss=2163038867.1875, style loss=17956923750.0000, tv loss=16578240.0000
LBFGS | iteration: 024, total loss=18760953856.0000, content_loss=2108233789.0625, style loss=16636216250.0000, tv loss=16501974.0000
LBFGS | iteration: 025, total loss=17469884416.0000, content_loss=2199365429.6875, style loss=15253745000.0000, tv loss=16774315.0000
LBFGS | iteration: 026, total loss=16552341504.0000, content_loss=2215513281.2500, style loss=14320131250.0000, tv loss=16697067.0000
LBFGS | iteration: 027, total loss=15365107712.0000, content_loss=2210365039.0625, style loss=13137943750.0000, tv loss=16799912.0000
LBFGS | iteration: 028, total loss=14193299456.0000, content_loss=2262360156.2500, style loss=11913930000.0000, tv loss=17010136.0000
LBFGS | iteration: 029, total loss=13246131200.0000, content_loss=2226540039.0625, style loss=11002580000.0000, tv loss=17012186.0000
LBFGS | iteration: 030, total loss=12713246720.0000, content_loss=2303324414.0625, style loss=10392720000.0000, tv loss=17202228.0000
LBFGS | iteration: 031, total loss=12222439424.0000, content_loss=2281673437.5000, style loss=9923730000.0000, tv loss=17034976.0000
LBFGS | iteration: 032, total loss=11796932608.0000, content_loss=2263428906.2500, style loss=9516435000.0000, tv loss=17067628.0000
LBFGS | iteration: 033, total loss=11263315968.0000, content_loss=2276037500.0000, style loss=8970119375.0000, tv loss=17159436.0000
LBFGS | iteration: 034, total loss=10614155264.0000, content_loss=2299721679.6875, style loss=8297186875.0000, tv loss=17246504.0000
LBFGS | iteration: 035, total loss=10080296960.0000, content_loss=2279857812.5000, style loss=7783355000.0000, tv loss=17084748.0000
LBFGS | iteration: 036, total loss=9658936320.0000, content_loss=2317930273.4375, style loss=7323787500.0000, tv loss=17218636.0000
LBFGS | iteration: 037, total loss=9409755136.0000, content_loss=2314118164.0625, style loss=7078500625.0000, tv loss=17135586.0000
LBFGS | iteration: 038, total loss=9098785792.0000, content_loss=2302772460.9375, style loss=6778876875.0000, tv loss=17136524.0000
LBFGS | iteration: 039, total loss=8831680512.0000, content_loss=2308051367.1875, style loss=6506471875.0000, tv loss=17157446.0000
LBFGS | iteration: 040, total loss=8415590400.0000, content_loss=2314697460.9375, style loss=6083709375.0000, tv loss=17183748.0000
LBFGS | iteration: 041, total loss=8222337536.0000, content_loss=2279061523.4375, style loss=5926205000.0000, tv loss=17071340.0000
LBFGS | iteration: 042, total loss=7914596352.0000, content_loss=2299038476.5625, style loss=5598448125.0000, tv loss=17110120.0000
LBFGS | iteration: 043, total loss=7807240192.0000, content_loss=2302902929.6875, style loss=5487233125.0000, tv loss=17103844.0000
LBFGS | iteration: 044, total loss=7649839104.0000, content_loss=2303415039.0625, style loss=5329311250.0000, tv loss=17113040.0000
LBFGS | iteration: 045, total loss=7413603840.0000, content_loss=2300353710.9375, style loss=5096187812.5000, tv loss=17062628.0000
LBFGS | iteration: 046, total loss=7211789824.0000, content_loss=2299750976.5625, style loss=4894970937.5000, tv loss=17067970.0000
