Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'wave_crop.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/tubingen.png', 'style_img_path': 'data/style_images/wave_crop.jpg', 'dump_path': 'data/output_images/tubingen styled as wave_crop/100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=214932340736.0000, content_loss=      0.0000, style loss=214917180000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=214931980288.0000, content_loss=      0.0032, style loss=214916820000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=214930292736.0000, content_loss=      0.0955, style loss=214915140000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=214915989504.0000, content_loss=      6.0128, style loss=214900840000.0000, tv loss=15154258.0000
LBFGS | iteration: 005, total loss=214769008640.0000, content_loss=    600.7890, style loss=214753860000.0000, tv loss=15154196.0000
LBFGS | iteration: 006, total loss=213315682304.0000, content_loss=  59639.8115, style loss=213300460000.0000, tv loss=15153580.0000
LBFGS | iteration: 007, total loss=206454194176.0000, content_loss=1744928.3600, style loss=206437280000.0000, tv loss=15150504.0000
LBFGS | iteration: 008, total loss=147133825024.0000, content_loss=221029443.3594, style loss=146897640000.0000, tv loss=15150436.0000
LBFGS | iteration: 009, total loss=125388406784.0000, content_loss=388200976.5625, style loss=124985050000.0000, tv loss=15158133.0000
LBFGS | iteration: 010, total loss=90132119552.0000, content_loss=804911328.1250, style loss=89311770000.0000, tv loss=15436282.0000
LBFGS | iteration: 011, total loss=62834216960.0000, content_loss=1313367089.8438, style loss=61504600000.0000, tv loss=16254908.0000
LBFGS | iteration: 012, total loss=45730250752.0000, content_loss=1607803613.2812, style loss=44105865000.0000, tv loss=16584758.0000
LBFGS | iteration: 013, total loss=34182916096.0000, content_loss=1608229687.5000, style loss=32557830000.0000, tv loss=16856152.0000
LBFGS | iteration: 014, total loss=26951415808.0000, content_loss=1768804101.5625, style loss=25165482500.0000, tv loss=17129788.0000
LBFGS | iteration: 015, total loss=21604087808.0000, content_loss=1791032031.2500, style loss=19795758750.0000, tv loss=17297456.0000
LBFGS | iteration: 016, total loss=17685868544.0000, content_loss=1972968359.3750, style loss=15695330000.0000, tv loss=17568876.0000
LBFGS | iteration: 017, total loss=15804487680.0000, content_loss=1908235742.1875, style loss=13878521250.0000, tv loss=17731896.0000
LBFGS | iteration: 018, total loss=14136992768.0000, content_loss=1959973437.5000, style loss=12159361250.0000, tv loss=17659184.0000
LBFGS | iteration: 019, total loss=12843531264.0000, content_loss=2062119335.9375, style loss=10763628750.0000, tv loss=17784144.0000
LBFGS | iteration: 020, total loss=11781241856.0000, content_loss=2055111914.0625, style loss=9708327500.0000, tv loss=17802264.0000
LBFGS | iteration: 021, total loss=10625397760.0000, content_loss=2055766601.5625, style loss=8551783125.0000, tv loss=17848644.0000
LBFGS | iteration: 022, total loss=9679907840.0000, content_loss=2129631835.9375, style loss=7532428125.0000, tv loss=17846798.0000
LBFGS | iteration: 023, total loss=9212716032.0000, content_loss=2089211523.4375, style loss=7105570625.0000, tv loss=17933066.0000
LBFGS | iteration: 024, total loss=8807656448.0000, content_loss=2091891796.8750, style loss=6698020000.0000, tv loss=17744842.0000
LBFGS | iteration: 025, total loss=8266633728.0000, content_loss=2142493164.0625, style loss=6106366250.0000, tv loss=17773956.0000
LBFGS | iteration: 026, total loss=7958552576.0000, content_loss=2123306445.3125, style loss=5817492500.0000, tv loss=17753464.0000
LBFGS | iteration: 027, total loss=7586792448.0000, content_loss=2144787695.3125, style loss=5424266875.0000, tv loss=17737664.0000
LBFGS | iteration: 028, total loss=7250389504.0000, content_loss=2150842382.8125, style loss=5081783750.0000, tv loss=17763528.0000
LBFGS | iteration: 029, total loss=6810600960.0000, content_loss=2183552148.4375, style loss=4609194062.5000, tv loss=17854832.0000
LBFGS | iteration: 030, total loss=6697155072.0000, content_loss=2154785937.5000, style loss=4524297500.0000, tv loss=18071196.0000
LBFGS | iteration: 031, total loss=6495249408.0000, content_loss=2171655859.3750, style loss=4305667812.5000, tv loss=17926146.0000
LBFGS | iteration: 032, total loss=6302970880.0000, content_loss=2180985156.2500, style loss=4103990000.0000, tv loss=17996012.0000
LBFGS | iteration: 033, total loss=6183440896.0000, content_loss=2178904882.8125, style loss=3986452812.5000, tv loss=18083340.0000
LBFGS | iteration: 034, total loss=6031809536.0000, content_loss=2178207421.8750, style loss=3835490937.5000, tv loss=18111530.0000
LBFGS | iteration: 035, total loss=5726552576.0000, content_loss=2160516406.2500, style loss=3547902187.5000, tv loss=18133952.0000
LBFGS | iteration: 036, total loss=5631989760.0000, content_loss=2198037500.0000, style loss=3415747812.5000, tv loss=18204888.0000
LBFGS | iteration: 037, total loss=5413952512.0000, content_loss=2152575585.9375, style loss=3243296250.0000, tv loss=18080748.0000
LBFGS | iteration: 038, total loss=5367118336.0000, content_loss=2144966210.9375, style loss=3204041562.5000, tv loss=18110392.0000
LBFGS | iteration: 039, total loss=5276920832.0000, content_loss=2135951953.1250, style loss=3122866562.5000, tv loss=18102490.0000
LBFGS | iteration: 040, total loss=5176059904.0000, content_loss=2141904101.5625, style loss=3015997500.0000, tv loss=18158644.0000
LBFGS | iteration: 041, total loss=5062798848.0000, content_loss=2151023632.8125, style loss=2893622812.5000, tv loss=18152408.0000
LBFGS | iteration: 042, total loss=5000364544.0000, content_loss=2136622851.5625, style loss=2845551875.0000, tv loss=18189972.0000
LBFGS | iteration: 043, total loss=4896233984.0000, content_loss=2133052734.3750, style loss=2745026562.5000, tv loss=18154818.0000
LBFGS | iteration: 044, total loss=4785360384.0000, content_loss=2131307421.8750, style loss=2635852187.5000, tv loss=18200656.0000
LBFGS | iteration: 045, total loss=4676818432.0000, content_loss=2126033984.3750, style loss=2532590468.7500, tv loss=18193856.0000
LBFGS | iteration: 046, total loss=4608146944.0000, content_loss=2112938671.8750, style loss=2476941406.2500, tv loss=18266904.0000
LBFGS | iteration: 047, total loss=4540964352.0000, content_loss=2124421679.6875, style loss=2398232656.2500, tv loss=18309930.0000
LBFGS | iteration: 048, total loss=4502571008.0000, content_loss=2116540429.6875, style loss=2367649375.0000, tv loss=18381512.0000
LBFGS | iteration: 049, total loss=4439753728.0000, content_loss=2106254101.5625, style loss=2315186250.0000, tv loss=18313152.0000
LBFGS | iteration: 050, total loss=4368112128.0000, content_loss=2112391406.2500, style loss=2237354843.7500, tv loss=18365780.0000
LBFGS | iteration: 051, total loss=4323852800.0000, content_loss=2100560742.1875, style loss=2204908281.2500, tv loss=18384020.0000
LBFGS | iteration: 052, total loss=4280069376.0000, content_loss=2098495312.5000, style loss=2163260000.0000, tv loss=18314024.0000
LBFGS | iteration: 053, total loss=4227019008.0000, content_loss=2088449023.4375, style loss=2120211093.7500, tv loss=18359060.0000
LBFGS | iteration: 054, total loss=4176169216.0000, content_loss=2084879101.5625, style loss=2072895781.2500, tv loss=18394332.0000
LBFGS | iteration: 055, total loss=4116544256.0000, content_loss=2077690039.0625, style loss=2020434531.2500, tv loss=18419684.0000
LBFGS | iteration: 056, total loss=4071665664.0000, content_loss=2077300000.0000, style loss=1975927656.2500, tv loss=18438096.0000
LBFGS | iteration: 057, total loss=4042967552.0000, content_loss=2072192382.8125, style loss=1952315781.2500, tv loss=18459512.0000
LBFGS | iteration: 058, total loss=3995910912.0000, content_loss=2070041992.1875, style loss=1907387031.2500, tv loss=18481796.0000
LBFGS | iteration: 059, total loss=3985141248.0000, content_loss=2059325195.3125, style loss=1907238281.2500, tv loss=18577958.0000
LBFGS | iteration: 060, total loss=3937236736.0000, content_loss=2064482226.5625, style loss=1854245781.2500, tv loss=18508908.0000
LBFGS | iteration: 061, total loss=3911446272.0000, content_loss=2065314648.4375, style loss=1827627968.7500, tv loss=18503432.0000
LBFGS | iteration: 062, total loss=3856770048.0000, content_loss=2059559179.6875, style loss=1778687656.2500, tv loss=18523100.0000
LBFGS | iteration: 063, total loss=3815473664.0000, content_loss=2061131835.9375, style loss=1735731093.7500, tv loss=18610664.0000
LBFGS | iteration: 064, total loss=3774594816.0000, content_loss=2044901757.8125, style loss=1711116093.7500, tv loss=18577188.0000
LBFGS | iteration: 065, total loss=3756046592.0000, content_loss=2049129492.1875, style loss=1688352343.7500, tv loss=18564784.0000
LBFGS | iteration: 066, total loss=3730810368.0000, content_loss=2046730859.3750, style loss=1665476406.2500, tv loss=18603130.0000
LBFGS | iteration: 067, total loss=3697401088.0000, content_loss=2041657031.2500, style loss=1637071406.2500, tv loss=18672558.0000
LBFGS | iteration: 068, total loss=3666364928.0000, content_loss=2041060351.5625, style loss=1606645156.2500, tv loss=18659456.0000
LBFGS | iteration: 069, total loss=3641370880.0000, content_loss=2035819726.5625, style loss=1586863906.2500, tv loss=18687132.0000
LBFGS | iteration: 070, total loss=3596929024.0000, content_loss=2027143750.0000, style loss=1551080156.2500, tv loss=18704792.0000
LBFGS | iteration: 071, total loss=3570609152.0000, content_loss=2021646679.6875, style loss=1530158281.2500, tv loss=18804152.0000
LBFGS | iteration: 072, total loss=3552045056.0000, content_loss=2022197070.3125, style loss=1511138593.7500, tv loss=18709428.0000
LBFGS | iteration: 073, total loss=3530372608.0000, content_loss=2016496875.0000, style loss=1495150625.0000, tv loss=18725232.0000
LBFGS | iteration: 074, total loss=3512518144.0000, content_loss=2019288867.1875, style loss=1474464843.7500, tv loss=18764296.0000
LBFGS | iteration: 075, total loss=3487244032.0000, content_loss=2016919726.5625, style loss=1451517031.2500, tv loss=18807232.0000
LBFGS | iteration: 076, total loss=3457129984.0000, content_loss=2016743164.0625, style loss=1421555156.2500, tv loss=18831536.0000
LBFGS | iteration: 077, total loss=3431273984.0000, content_loss=2005602539.0625, style loss=1406830000.0000, tv loss=18841604.0000
LBFGS | iteration: 078, total loss=3415378944.0000, content_loss=2008669335.9375, style loss=1387900468.7500, tv loss=18809306.0000
LBFGS | iteration: 079, total loss=3402648064.0000, content_loss=2006654687.5000, style loss=1377148906.2500, tv loss=18844528.0000
LBFGS | iteration: 080, total loss=3380392192.0000, content_loss=2002483203.1250, style loss=1359024218.7500, tv loss=18884824.0000
LBFGS | iteration: 081, total loss=3353659648.0000, content_loss=2000218164.0625, style loss=1334547656.2500, tv loss=18893936.0000
LBFGS | iteration: 082, total loss=3323202048.0000, content_loss=1991264843.7500, style loss=1313016250.0000, tv loss=18920836.0000
LBFGS | iteration: 083, total loss=3296695296.0000, content_loss=1994754101.5625, style loss=1282977500.0000, tv loss=18963784.0000
LBFGS | iteration: 084, total loss=3280094208.0000, content_loss=1988216992.1875, style loss=1272906015.6250, tv loss=18971224.0000
LBFGS | iteration: 085, total loss=3267575296.0000, content_loss=1987357421.8750, style loss=1261274062.5000, tv loss=18943726.0000
LBFGS | iteration: 086, total loss=3260706560.0000, content_loss=1985555273.4375, style loss=1256113203.1250, tv loss=19038040.0000
LBFGS | iteration: 087, total loss=3237402368.0000, content_loss=1989729492.1875, style loss=1228669921.8750, tv loss=19002906.0000
LBFGS | iteration: 088, total loss=3226002432.0000, content_loss=1989495898.4375, style loss=1217497500.0000, tv loss=19009074.0000
LBFGS | iteration: 089, total loss=3199270400.0000, content_loss=1981564257.8125, style loss=1198643750.0000, tv loss=19062156.0000
LBFGS | iteration: 090, total loss=3175940352.0000, content_loss=1976871679.6875, style loss=1179982578.1250, tv loss=19086156.0000
LBFGS | iteration: 091, total loss=3155444736.0000, content_loss=1967390429.6875, style loss=1168964609.3750, tv loss=19089644.0000
LBFGS | iteration: 092, total loss=3143643136.0000, content_loss=1969855273.4375, style loss=1154711015.6250, tv loss=19076960.0000
LBFGS | iteration: 093, total loss=3136230656.0000, content_loss=1968855078.1250, style loss=1148263437.5000, tv loss=19112268.0000
LBFGS | iteration: 094, total loss=3119775744.0000, content_loss=1968613085.9375, style loss=1132064765.6250, tv loss=19097804.0000
LBFGS | iteration: 095, total loss=3099627264.0000, content_loss=1969608007.8125, style loss=1110893046.8750, tv loss=19125916.0000
LBFGS | iteration: 096, total loss=3083235584.0000, content_loss=1966279492.1875, style loss=1097801953.1250, tv loss=19154236.0000
LBFGS | iteration: 097, total loss=3067126016.0000, content_loss=1964754492.1875, style loss=1083185937.5000, tv loss=19185680.0000
LBFGS | iteration: 098, total loss=3059943424.0000, content_loss=1958257617.1875, style loss=1082401640.6250, tv loss=19283840.0000
LBFGS | iteration: 099, total loss=3041447168.0000, content_loss=1958272460.9375, style loss=1063945234.3750, tv loss=19229404.0000
LBFGS | iteration: 100, total loss=3031772416.0000, content_loss=1957161718.7500, style loss=1055378515.6250, tv loss=19232336.0000
LBFGS | iteration: 101, total loss=3016468992.0000, content_loss=1952470898.4375, style loss=1044755546.8750, tv loss=19242428.0000
LBFGS | iteration: 102, total loss=3001387776.0000, content_loss=1950867578.1250, style loss=1031235859.3750, tv loss=19284196.0000
