Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'candy.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/tubingen.png', 'style_img_path': 'data/style_images/candy.jpg', 'dump_path': 'data/output_images/tubingen styled as candy/100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=307530530816.0000, content_loss=      0.0000, style loss=307515380000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=307530170368.0000, content_loss=      0.0026, style loss=307515040000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=307528368128.0000, content_loss=      0.0759, style loss=307513220000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=307524403200.0000, content_loss=      0.6170, style loss=307509260000.0000, tv loss=15154264.0000
LBFGS | iteration: 005, total loss=307496681472.0000, content_loss=     18.6554, style loss=307481540000.0000, tv loss=15154250.0000
LBFGS | iteration: 006, total loss=307231195136.0000, content_loss=   1463.8952, style loss=307216060000.0000, tv loss=15154132.0000
LBFGS | iteration: 007, total loss=305894064128.0000, content_loss=  44091.9548, style loss=305878900000.0000, tv loss=15153535.0000
LBFGS | iteration: 008, total loss=298838392832.0000, content_loss=1298107.2426, style loss=298821940000.0000, tv loss=15150252.0000
LBFGS | iteration: 009, total loss=267996413952.0000, content_loss=32346646.1182, style loss=267948940000.0000, tv loss=15135980.0000
LBFGS | iteration: 010, total loss=205637959680.0000, content_loss=283122436.5234, style loss=205339700000.0000, tv loss=15136830.0000
LBFGS | iteration: 011, total loss=157715890176.0000, content_loss=610554052.7344, style loss=157090050000.0000, tv loss=15291850.0000
LBFGS | iteration: 012, total loss=106114670592.0000, content_loss=1138467675.7812, style loss=104960090000.0000, tv loss=16117471.0000
LBFGS | iteration: 013, total loss=83431571456.0000, content_loss=1531571582.0312, style loss=81883180000.0000, tv loss=16829856.0000
LBFGS | iteration: 014, total loss=65554513920.0000, content_loss=1784325585.9375, style loss=63753040000.0000, tv loss=17149304.0000
LBFGS | iteration: 015, total loss=54845648896.0000, content_loss=1952081250.0000, style loss=52876135000.0000, tv loss=17431592.0000
LBFGS | iteration: 016, total loss=44473401344.0000, content_loss=2120741406.2500, style loss=42334825000.0000, tv loss=17832664.0000
LBFGS | iteration: 017, total loss=36568010752.0000, content_loss=2350580273.4375, style loss=34199197500.0000, tv loss=18230886.0000
LBFGS | iteration: 018, total loss=30880759808.0000, content_loss=2334522460.9375, style loss=28527817500.0000, tv loss=18420460.0000
LBFGS | iteration: 019, total loss=27215595520.0000, content_loss=2621297070.3125, style loss=24575590000.0000, tv loss=18708856.0000
LBFGS | iteration: 020, total loss=24744695808.0000, content_loss=2495931835.9375, style loss=22230275000.0000, tv loss=18488982.0000
LBFGS | iteration: 021, total loss=22842763264.0000, content_loss=2535081445.3125, style loss=20289145000.0000, tv loss=18535468.0000
LBFGS | iteration: 022, total loss=20548521984.0000, content_loss=2656384375.0000, style loss=17873500000.0000, tv loss=18636740.0000
LBFGS | iteration: 023, total loss=18670465024.0000, content_loss=2618604882.8125, style loss=16033240000.0000, tv loss=18620528.0000
LBFGS | iteration: 024, total loss=17214228480.0000, content_loss=2751446289.0625, style loss=14444148750.0000, tv loss=18632740.0000
LBFGS | iteration: 025, total loss=16180322304.0000, content_loss=2713125976.5625, style loss=13448473750.0000, tv loss=18722752.0000
LBFGS | iteration: 026, total loss=15194696704.0000, content_loss=2721876367.1875, style loss=12454120000.0000, tv loss=18699244.0000
LBFGS | iteration: 027, total loss=14656684032.0000, content_loss=2769692773.4375, style loss=11868066250.0000, tv loss=18925328.0000
LBFGS | iteration: 028, total loss=13487801344.0000, content_loss=2806568164.0625, style loss=10662408750.0000, tv loss=18824092.0000
LBFGS | iteration: 029, total loss=13064501248.0000, content_loss=2752791992.1875, style loss=10292957500.0000, tv loss=18751980.0000
LBFGS | iteration: 030, total loss=12493010944.0000, content_loss=2777933593.7500, style loss=9696185000.0000, tv loss=18891716.0000
LBFGS | iteration: 031, total loss=11875723264.0000, content_loss=2856498242.1875, style loss=9000208125.0000, tv loss=19016236.0000
LBFGS | iteration: 032, total loss=11379208192.0000, content_loss=2804786132.8125, style loss=8555454375.0000, tv loss=18967582.0000
LBFGS | iteration: 033, total loss=11111428096.0000, content_loss=2817058789.0625, style loss=8275430625.0000, tv loss=18938756.0000
LBFGS | iteration: 034, total loss=10735108096.0000, content_loss=2842332812.5000, style loss=7873704375.0000, tv loss=19071112.0000
LBFGS | iteration: 035, total loss=10253968384.0000, content_loss=2874621093.7500, style loss=7360448125.0000, tv loss=18898996.0000
LBFGS | iteration: 036, total loss=10057312256.0000, content_loss=2792692773.4375, style loss=7245728125.0000, tv loss=18891110.0000
LBFGS | iteration: 037, total loss=9867294720.0000, content_loss=2834621679.6875, style loss=7013734375.0000, tv loss=18938856.0000
LBFGS | iteration: 038, total loss=9630648320.0000, content_loss=2870597851.5625, style loss=6741093750.0000, tv loss=18956548.0000
LBFGS | iteration: 039, total loss=9323748352.0000, content_loss=2866028320.3125, style loss=6438785000.0000, tv loss=18934872.0000
LBFGS | iteration: 040, total loss=9026534400.0000, content_loss=2854378710.9375, style loss=6153220000.0000, tv loss=18936184.0000
LBFGS | iteration: 041, total loss=8842228736.0000, content_loss=2863173632.8125, style loss=5960190625.0000, tv loss=18865190.0000
LBFGS | iteration: 042, total loss=8616976384.0000, content_loss=2880126757.8125, style loss=5717899375.0000, tv loss=18950072.0000
LBFGS | iteration: 043, total loss=8502699520.0000, content_loss=2868074804.6875, style loss=5615686875.0000, tv loss=18938328.0000
LBFGS | iteration: 044, total loss=8478872576.0000, content_loss=2835002343.7500, style loss=5624845625.0000, tv loss=19024332.0000
LBFGS | iteration: 045, total loss=8377555456.0000, content_loss=2850895117.1875, style loss=5507686875.0000, tv loss=18973348.0000
LBFGS | iteration: 046, total loss=8205080064.0000, content_loss=2869616992.1875, style loss=5316546875.0000, tv loss=18915920.0000
LBFGS | iteration: 047, total loss=8037862400.0000, content_loss=2851888281.2500, style loss=5167119687.5000, tv loss=18853720.0000
LBFGS | iteration: 048, total loss=7882165760.0000, content_loss=2859528710.9375, style loss=5003750937.5000, tv loss=18886368.0000
