Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'okeffe_red_canna.png', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\tubingen.png', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\okeffe_red_canna.png', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\tubingen styled as okeffe_red_canna\\100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=270810923008.0000, content_loss=      0.0000, style loss=270795760000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=270810447872.0000, content_loss=      0.0038, style loss=270795300000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=270808268800.0000, content_loss=      0.0888, style loss=270793120000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=270796210176.0000, content_loss=      2.6505, style loss=270781060000.0000, tv loss=15154250.0000
LBFGS | iteration: 005, total loss=270701330432.0000, content_loss=    147.2040, style loss=270686180000.0000, tv loss=15154161.0000
LBFGS | iteration: 006, total loss=270208942080.0000, content_loss=   4452.4219, style loss=270193780000.0000, tv loss=15153690.0000
LBFGS | iteration: 007, total loss=264922071040.0000, content_loss= 437866.2109, style loss=264906480000.0000, tv loss=15148526.0000
LBFGS | iteration: 008, total loss=223084183552.0000, content_loss=35823104.8584, style loss=223033260000.0000, tv loss=15100800.0000
LBFGS | iteration: 009, total loss=152891949056.0000, content_loss=308555688.4766, style loss=152568440000.0000, tv loss=14943444.0000
LBFGS | iteration: 010, total loss=119260086272.0000, content_loss=582768554.6875, style loss=118662600000.0000, tv loss=14711778.0000
LBFGS | iteration: 011, total loss=96965926912.0000, content_loss=887546777.3438, style loss=96063990000.0000, tv loss=14392420.0000
LBFGS | iteration: 012, total loss=84973330432.0000, content_loss=1129365917.9688, style loss=83829875000.0000, tv loss=14090173.0000
LBFGS | iteration: 013, total loss=77994524672.0000, content_loss=1273146582.0312, style loss=76707505000.0000, tv loss=13878600.0000
LBFGS | iteration: 014, total loss=73284509696.0000, content_loss=1362091699.2188, style loss=71908700000.0000, tv loss=13721994.0000
LBFGS | iteration: 015, total loss=69567873024.0000, content_loss=1416560937.5000, style loss=68137720000.0000, tv loss=13590607.0000
LBFGS | iteration: 016, total loss=66411896832.0000, content_loss=1447023535.1562, style loss=64951400000.0000, tv loss=13476012.0000
LBFGS | iteration: 017, total loss=63687499776.0000, content_loss=1464686621.0938, style loss=62209435000.0000, tv loss=13376318.0000
LBFGS | iteration: 018, total loss=61315538944.0000, content_loss=1480786816.4062, style loss=59821455000.0000, tv loss=13298993.0000
LBFGS | iteration: 019, total loss=59185909760.0000, content_loss=1501867968.7500, style loss=57670795000.0000, tv loss=13244985.0000
LBFGS | iteration: 020, total loss=57277669376.0000, content_loss=1523932421.8750, style loss=55740525000.0000, tv loss=13210456.0000
LBFGS | iteration: 021, total loss=55547207680.0000, content_loss=1542812011.7188, style loss=53991205000.0000, tv loss=13188761.0000
LBFGS | iteration: 022, total loss=53946011648.0000, content_loss=1561010937.5000, style loss=52371825000.0000, tv loss=13178510.0000
LBFGS | iteration: 023, total loss=52426121216.0000, content_loss=1578633593.7500, style loss=50834305000.0000, tv loss=13180122.0000
LBFGS | iteration: 024, total loss=50991759360.0000, content_loss=1597830859.3750, style loss=49380730000.0000, tv loss=13201762.0000
LBFGS | iteration: 025, total loss=49609584640.0000, content_loss=1619294824.2188, style loss=47977045000.0000, tv loss=13244256.0000
LBFGS | iteration: 026, total loss=48266256384.0000, content_loss=1640899414.0625, style loss=46612060000.0000, tv loss=13301164.0000
LBFGS | iteration: 027, total loss=46963662848.0000, content_loss=1660879687.5000, style loss=45289415000.0000, tv loss=13367938.0000
LBFGS | iteration: 028, total loss=45710782464.0000, content_loss=1680641992.1875, style loss=44016685000.0000, tv loss=13454810.0000
LBFGS | iteration: 029, total loss=44481495040.0000, content_loss=1700556054.6875, style loss=42767380000.0000, tv loss=13556898.0000
LBFGS | iteration: 030, total loss=43298553856.0000, content_loss=1719004492.1875, style loss=41565890000.0000, tv loss=13660202.0000
LBFGS | iteration: 031, total loss=42130890752.0000, content_loss=1737363085.9375, style loss=40379747500.0000, tv loss=13778208.0000
