Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'vg_starry_night.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/tubingen.png', 'style_img_path': 'data/style_images/vg_starry_night.jpg', 'dump_path': 'data/output_images/tubingen styled as vg_starry_night/100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=245858566144.0000, content_loss=      0.0000, style loss=245843408000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=245858484224.0000, content_loss=      0.0006, style loss=245843328000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=245858467840.0000, content_loss=      0.0011, style loss=245843312000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=245858091008.0000, content_loss=      0.0306, style loss=245842928000.0000, tv loss=15154274.0000
LBFGS | iteration: 005, total loss=245855862784.0000, content_loss=      0.9191, style loss=245840704000.0000, tv loss=15154315.0000
LBFGS | iteration: 006, total loss=245850472448.0000, content_loss=      8.4413, style loss=245835312000.0000, tv loss=15154418.0000
LBFGS | iteration: 007, total loss=245813985280.0000, content_loss=    255.5208, style loss=245798832000.0000, tv loss=15155108.0000
LBFGS | iteration: 008, total loss=245413445632.0000, content_loss=  25339.2547, style loss=245398256000.0000, tv loss=15162700.0000
LBFGS | iteration: 009, total loss=241482743808.0000, content_loss=2276683.6166, style loss=241465232000.0000, tv loss=15238634.0000
LBFGS | iteration: 010, total loss=210022072320.0000, content_loss=106069543.4570, style loss=209899904000.0000, tv loss=16098609.0000
LBFGS | iteration: 011, total loss=102834823168.0000, content_loss=835156738.2812, style loss=101977888000.0000, tv loss=21773418.0000
LBFGS | iteration: 012, total loss=161356234752.0000, content_loss=2131837500.0000, style loss=159192336000.0000, tv loss=32064064.0000
LBFGS | iteration: 013, total loss=68996857856.0000, content_loss=1367099218.7500, style loss=67603792000.0000, tv loss=25969784.0000
LBFGS | iteration: 014, total loss=43644870656.0000, content_loss=1716909179.6875, style loss=41899236000.0000, tv loss=28727064.0000
LBFGS | iteration: 015, total loss=26093432832.0000, content_loss=1951568164.0625, style loss=24110774000.0000, tv loss=31090772.0000
LBFGS | iteration: 016, total loss=18246258688.0000, content_loss=2082240039.0625, style loss=16130867000.0000, tv loss=33150948.0000
LBFGS | iteration: 017, total loss=12939285504.0000, content_loss=2175013476.5625, style loss=10728851000.0000, tv loss=35420888.0000
LBFGS | iteration: 018, total loss=9899892736.0000, content_loss=2170862500.0000, style loss=7692410000.0000, tv loss=36620064.0000
LBFGS | iteration: 019, total loss=10026163200.0000, content_loss=2339232617.1875, style loss=7648226500.0000, tv loss=38703680.0000
LBFGS | iteration: 020, total loss=8844666880.0000, content_loss=2243939648.4375, style loss=6563074000.0000, tv loss=37653960.0000
LBFGS | iteration: 021, total loss=7855036928.0000, content_loss=2226876562.5000, style loss=5590412500.0000, tv loss=37748448.0000
LBFGS | iteration: 022, total loss=6493444608.0000, content_loss=2257346679.6875, style loss=4197658500.0000, tv loss=38439352.0000
LBFGS | iteration: 023, total loss=5831512576.0000, content_loss=2281013085.9375, style loss=3511460000.0000, tv loss=39039644.0000
LBFGS | iteration: 024, total loss=5224427008.0000, content_loss=2300049023.4375, style loss=2884628250.0000, tv loss=39749944.0000
LBFGS | iteration: 025, total loss=5004432384.0000, content_loss=2230067968.7500, style loss=2734768250.0000, tv loss=39595988.0000
LBFGS | iteration: 026, total loss=4756526080.0000, content_loss=2240986718.7500, style loss=2475506000.0000, tv loss=40033252.0000
LBFGS | iteration: 027, total loss=4490316288.0000, content_loss=2219280468.7500, style loss=2230788250.0000, tv loss=40247936.0000
LBFGS | iteration: 028, total loss=4254081280.0000, content_loss=2174025390.6250, style loss=2039852875.0000, tv loss=40203120.0000
LBFGS | iteration: 029, total loss=3978519808.0000, content_loss=2137268554.6875, style loss=1800800375.0000, tv loss=40450864.0000
LBFGS | iteration: 030, total loss=3680790784.0000, content_loss=2098236132.8125, style loss=1542086875.0000, tv loss=40467676.0000
LBFGS | iteration: 031, total loss=3635403008.0000, content_loss=2108315625.0000, style loss=1486238625.0000, tv loss=40848568.0000
LBFGS | iteration: 032, total loss=3475854080.0000, content_loss=2080325390.6250, style loss=1354879375.0000, tv loss=40649432.0000
LBFGS | iteration: 033, total loss=3389062656.0000, content_loss=2065271875.0000, style loss=1283090125.0000, tv loss=40700532.0000
LBFGS | iteration: 034, total loss=3248346624.0000, content_loss=2039064257.8125, style loss=1168394375.0000, tv loss=40887776.0000
LBFGS | iteration: 035, total loss=3129656576.0000, content_loss=2004013085.9375, style loss=1084511875.0000, tv loss=41131720.0000
LBFGS | iteration: 036, total loss=3046336512.0000, content_loss=1969160742.1875, style loss=1036116500.0000, tv loss=41059212.0000
LBFGS | iteration: 037, total loss=2995475456.0000, content_loss=1954704296.8750, style loss=999694312.5000, tv loss=41076816.0000
LBFGS | iteration: 038, total loss=2963144448.0000, content_loss=1939970117.1875, style loss=981816000.0000, tv loss=41358224.0000
LBFGS | iteration: 039, total loss=2893900288.0000, content_loss=1916683984.3750, style loss=935984562.5000, tv loss=41231496.0000
LBFGS | iteration: 040, total loss=2857182208.0000, content_loss=1903564453.1250, style loss=912385437.5000, tv loss=41232456.0000
LBFGS | iteration: 041, total loss=2798338816.0000, content_loss=1886208398.4375, style loss=870811937.5000, tv loss=41318420.0000
LBFGS | iteration: 042, total loss=2741866752.0000, content_loss=1871838476.5625, style loss=828701812.5000, tv loss=41326400.0000
LBFGS | iteration: 043, total loss=2687611136.0000, content_loss=1853368164.0625, style loss=792830500.0000, tv loss=41412436.0000
LBFGS | iteration: 044, total loss=2629482496.0000, content_loss=1828883789.0625, style loss=759076062.5000, tv loss=41522584.0000
LBFGS | iteration: 045, total loss=2595657728.0000, content_loss=1809600976.5625, style loss=744402250.0000, tv loss=41654420.0000
LBFGS | iteration: 046, total loss=2565409280.0000, content_loss=1791867968.7500, style loss=731926312.5000, tv loss=41614856.0000
LBFGS | iteration: 047, total loss=2552993280.0000, content_loss=1775081445.3125, style loss=736125312.5000, tv loss=41786276.0000
LBFGS | iteration: 048, total loss=2517504256.0000, content_loss=1769583203.1250, style loss=706246250.0000, tv loss=41674808.0000
LBFGS | iteration: 049, total loss=2505138432.0000, content_loss=1765851757.8125, style loss=697594750.0000, tv loss=41691960.0000
LBFGS | iteration: 050, total loss=2472444416.0000, content_loss=1756753320.3125, style loss=673923062.5000, tv loss=41768016.0000
LBFGS | iteration: 051, total loss=2440378368.0000, content_loss=1748101562.5000, style loss=650422687.5000, tv loss=41854152.0000
LBFGS | iteration: 052, total loss=2408709888.0000, content_loss=1733155078.1250, style loss=633644125.0000, tv loss=41910844.0000
LBFGS | iteration: 053, total loss=2384967424.0000, content_loss=1718458203.1250, style loss=624572187.5000, tv loss=41937256.0000
LBFGS | iteration: 054, total loss=2359551488.0000, content_loss=1701855664.0625, style loss=615790250.0000, tv loss=41905684.0000
