Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'vg_starry_night.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 30000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\tubingen.png', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\vg_starry_night.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\tubingen styled as vg_starry_night\\100000 30000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=8766466555904.0000, content_loss=      0.0000, style loss=8766451200000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=8766463410176.0000, content_loss=      0.0013, style loss=8766448320000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=8766463410176.0000, content_loss=      0.0016, style loss=8766448320000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=8766463410176.0000, content_loss=      0.0016, style loss=8766448320000.0000, tv loss=15154265.0000
LBFGS | iteration: 005, total loss=8766463410176.0000, content_loss=      0.0016, style loss=8766448320000.0000, tv loss=15154265.0000
LBFGS | iteration: 006, total loss=8766463410176.0000, content_loss=      0.0016, style loss=8766448320000.0000, tv loss=15154265.0000
LBFGS | iteration: 007, total loss=8766463410176.0000, content_loss=      0.0016, style loss=8766448320000.0000, tv loss=15154265.0000
LBFGS | iteration: 008, total loss=260203345870848.0000, content_loss=7668627343.7500, style loss=260195604480000.0000, tv loss=69292888.0000
LBFGS | iteration: 009, total loss=3766440165376.0000, content_loss=1809097070.3125, style loss=3764599680000.0000, tv loss=31427618.0000
LBFGS | iteration: 010, total loss=1454254194688.0000, content_loss=1848331445.3125, style loss=1452373320000.0000, tv loss=32457240.0000
LBFGS | iteration: 011, total loss=879136342016.0000, content_loss=2248794335.9375, style loss=876851580000.0000, tv loss=35995616.0000
LBFGS | iteration: 012, total loss=617766518784.0000, content_loss=2393752343.7500, style loss=615335280000.0000, tv loss=37500056.0000
LBFGS | iteration: 013, total loss=419153444864.0000, content_loss=2455552343.7500, style loss=416659350000.0000, tv loss=38539280.0000
LBFGS | iteration: 014, total loss=293184733184.0000, content_loss=2465531250.0000, style loss=290680320000.0000, tv loss=38906788.0000
LBFGS | iteration: 015, total loss=226582495232.0000, content_loss=2598282812.5000, style loss=223944585000.0000, tv loss=39621576.0000
LBFGS | iteration: 016, total loss=162592964608.0000, content_loss=2780420312.5000, style loss=159772470000.0000, tv loss=40071872.0000
