Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'wave_crop.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 30000.0, 'tv_weight': 1.0, 'init_img': 'random', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\tubingen.png', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\wave_crop.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\tubingen styled as wave_crop\\100000 30000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=67917039271936.0000, content_loss=5066141796.8750, style loss=67911851520000.0000, tv loss=119689880.0000
LBFGS | iteration: 002, total loss=67917022494720.0000, content_loss=5066141015.6250, style loss=67911836160000.0000, tv loss=119689880.0000
LBFGS | iteration: 003, total loss=67916900859904.0000, content_loss=5066139453.1250, style loss=67911713280000.0000, tv loss=119689880.0000
LBFGS | iteration: 004, total loss=67916301074432.0000, content_loss=5066129687.5000, style loss=67911114240000.0000, tv loss=119689856.0000
LBFGS | iteration: 005, total loss=67913000157184.0000, content_loss=5066076562.5000, style loss=67907811840000.0000, tv loss=119689760.0000
LBFGS | iteration: 006, total loss=67894746546176.0000, content_loss=5065784375.0000, style loss=67889556480000.0000, tv loss=119689256.0000
LBFGS | iteration: 007, total loss=67794418794496.0000, content_loss=5064173437.5000, style loss=67789232640000.0000, tv loss=119686496.0000
LBFGS | iteration: 008, total loss=67245082411008.0000, content_loss=5055328125.0000, style loss=67239905280000.0000, tv loss=119671264.0000
LBFGS | iteration: 009, total loss=64309354823680.0000, content_loss=5007340625.0000, style loss=64304225280000.0000, tv loss=119587680.0000
LBFGS | iteration: 010, total loss=50547050676224.0000, content_loss=4763306640.6250, style loss=50542168320000.0000, tv loss=119136488.0000
LBFGS | iteration: 011, total loss=17840123936768.0000, content_loss=3945416015.6250, style loss=17836060800000.0000, tv loss=116921064.0000
LBFGS | iteration: 012, total loss=9445541150720.0000, content_loss=3603271093.7500, style loss=9441822720000.0000, tv loss=115343704.0000
LBFGS | iteration: 013, total loss=4620678594560.0000, content_loss=3327750000.0000, style loss=4617237600000.0000, tv loss=113218832.0000
LBFGS | iteration: 014, total loss=2344595488768.0000, content_loss=3100070117.1875, style loss=2341384560000.0000, tv loss=110907872.0000
LBFGS | iteration: 015, total loss=1292116819968.0000, content_loss=2941780664.0625, style loss=1289066520000.0000, tv loss=108544040.0000
LBFGS | iteration: 016, total loss=795409055744.0000, content_loss=2869458398.4375, style loss=792433380000.0000, tv loss=106222416.0000
